empresa_id,segmento,risco,status
EM001,Manutenção,Médio,Homologada
EM002,Logística,Alto,Homologada
EM003,Manutenção,Médio,Homologada
EM004,Manutenção,Baixo,Homologada
EM005,Serviços,Alto,Homologada
EM006,Consultoria,Alto,Homologada
EM007,Manutenção,Alto,Homologada
EM008,Logística,Alto,Pendente
EM009,Serviços,Alto,Homologada
EM010,Construção,Médio,Homologada
EM011,Construção,Médio,Homologada
EM012,Manutenção,Baixo,Pendente
EM013,Logística,Baixo,Homologada
EM014,Logística,Baixo,Homologada
EM015,Consultoria,Alto,Pendente
EM016,Consultoria,Baixo,Homologada
EM017,Serviços,Médio,Homologada
EM018,Logística,Baixo,Pendente
EM019,Logística,Médio,Homologada
EM020,Serviços,Baixo,Homologada
EM021,Logística,Baixo,Homologada
EM022,Construção,Baixo,Homologada
EM023,Manutenção,Médio,Homologada
EM024,Logística,Médio,Homologada
EM025,Serviços,Alto,Pendente
EM026,Serviços,Alto,Homologada
EM027,Manutenção,Alto,Pendente
EM028,Logística,Alto,Pendente
EM029,Logística,Alto,Homologada
EM030,Construção,Baixo,Homologada
EM031,Construção,Médio,Bloqueada
EM032,Construção,Médio,Homologada
EM033,Consultoria,Médio,Pendente
EM034,Serviços,Médio,Homologada
EM035,Construção,Baixo,Homologada
EM036,Manutenção,Alto,Homologada
EM037,Consultoria,Alto,Homologada
EM038,Logística,Alto,Homologada
EM039,Serviços,Baixo,Homologada
EM040,Serviços,Baixo,Homologada
EM041,Consultoria,Médio,Homologada
EM042,Construção,Médio,Homologada
EM043,Logística,Baixo,Homologada
EM044,Manutenção,Baixo,Homologada
EM045,Construção,Baixo,Homologada
EM046,Logística,Médio,Homologada
EM047,Serviços,Baixo,Bloqueada
EM048,Logística,Baixo,Homologada
EM049,Construção,Médio,Homologada
EM050,Consultoria,Médio,Pendente
EM051,Manutenção,Baixo,Bloqueada
EM052,Construção,Alto,Homologada
EM053,Serviços,Alto,Homologada
EM054,Logística,Alto,Homologada
EM055,Construção,Baixo,Homologada
EM056,Manutenção,Médio,Homologada
EM057,Serviços,Baixo,Homologada
EM058,Manutenção,Médio,Homologada
EM059,Construção,Baixo,Homologada
EM060,Serviços,Baixo,Homologada
EM061,Logística,Médio,Homologada
EM062,Manutenção,Médio,Homologada
EM063,Manutenção,Alto,Homologada
EM064,Consultoria,Alto,Homologada
EM065,Serviços,Médio,Homologada
EM066,Serviços,Baixo,Pendente
EM067,Construção,Baixo,Homologada
EM068,Manutenção,Baixo,Homologada
EM069,Consultoria,Alto,Homologada
EM070,Manutenção,Baixo,Homologada
EM071,Construção,Baixo,Homologada
EM072,Consultoria,Alto,Homologada
EM073,Construção,Alto,Homologada
EM074,Construção,Alto,Homologada
EM075,Construção,Médio,Pendente
EM076,Consultoria,Alto,Homologada
EM077,Serviços,Baixo,Pendente
EM078,Consultoria,Alto,Pendente
EM079,Consultoria,Alto,Homologada
EM080,Construção,Alto,Homologada
EM081,Logística,Baixo,Pendente
EM082,Logística,Alto,Pendente
EM083,Manutenção,Baixo,Homologada
EM084,Manutenção,Baixo,Homologada
EM085,Construção,Médio,Homologada
EM086,Construção,Baixo,Homologada
EM087,Serviços,Médio,Pendente
EM088,Logística,Baixo,Homologada
EM089,Serviços,Médio,Homologada
EM090,Serviços,Baixo,Homologada
EM091,Construção,Baixo,Homologada
EM092,Manutenção,Baixo,Homologada
EM093,Logística,Alto,Homologada
EM094,Construção,Alto,Pendente
EM095,Manutenção,Alto,Homologada
EM096,Serviços,Baixo,Homologada
EM097,Consultoria,Baixo,Homologada
EM098,Construção,Baixo,Homologada
EM099,Construção,Médio,Homologada
EM100,Logística,Baixo,Homologada
EM101,Consultoria,Baixo,Homologada
EM102,Manutenção,Alto,Homologada
EM103,Serviços,Médio,Homologada
EM104,Manutenção,Alto,Homologada
EM105,Consultoria,Alto,Homologada
EM106,Serviços,Médio,Homologada
EM107,Construção,Baixo,Bloqueada
EM108,Manutenção,Baixo,Homologada
EM109,Manutenção,Alto,Homologada
EM110,Manutenção,Baixo,Homologada
EM111,Logística,Médio,Homologada
EM112,Manutenção,Baixo,Homologada
EM113,Manutenção,Alto,Homologada
EM114,Serviços,Baixo,Homologada
EM115,Consultoria,Médio,Homologada
EM116,Logística,Alto,Bloqueada
EM117,Consultoria,Baixo,Homologada
EM118,Construção,Baixo,Homologada
EM119,Construção,Baixo,Homologada
EM120,Logística,Alto,Homologada
EM121,Construção,Alto,Homologada
EM122,Consultoria,Baixo,Homologada
EM123,Logística,Médio,Pendente
EM124,Serviços,Alto,Homologada
EM125,Serviços,Médio,Homologada
EM126,Manutenção,Baixo,Homologada
EM127,Logística,Médio,Homologada
EM128,Serviços,Alto,Homologada
EM129,Serviços,Baixo,Homologada
EM130,Manutenção,Alto,Homologada
EM131,Serviços,Alto,Homologada
EM132,Serviços,Alto,Homologada
EM133,Consultoria,Médio,Homologada
EM134,Manutenção,Baixo,Homologada
EM135,Consultoria,Baixo,Homologada
EM136,Consultoria,Alto,Homologada
EM137,Consultoria,Alto,Homologada
EM138,Consultoria,Baixo,Homologada
EM139,Logística,Médio,Homologada
EM140,Manutenção,Médio,Homologada
EM141,Manutenção,Alto,Homologada
EM142,Logística,Baixo,Homologada
EM143,Serviços,Baixo,Homologada
EM144,Construção,Médio,Pendente
EM145,Construção,Alto,Homologada
EM146,Logística,Baixo,Homologada
EM147,Construção,Médio,Homologada
EM148,Serviços,Médio,Homologada
EM149,Manutenção,Baixo,Homologada
EM150,Consultoria,Alto,Homologada
EM151,Manutenção,Alto,Homologada
EM152,Serviços,Alto,Homologada
EM153,Serviços,Baixo,Pendente
EM154,Manutenção,Alto,Homologada
EM155,Serviços,Alto,Homologada
EM156,Manutenção,Médio,Homologada
EM157,Consultoria,Baixo,Homologada
EM158,Logística,Baixo,Homologada
EM159,Construção,Baixo,Homologada
EM160,Serviços,Baixo,Homologada
EM161,Consultoria,Baixo,Pendente
EM162,Consultoria,Médio,Homologada
EM163,Serviços,Médio,Homologada
EM164,Consultoria,Alto,Homologada
EM165,Construção,Baixo,Homologada
EM166,Logística,Alto,Homologada
EM167,Manutenção,Alto,Homologada
EM168,Consultoria,Alto,Homologada
EM169,Logística,Alto,Homologada
EM170,Construção,Médio,Homologada
EM171,Consultoria,Baixo,Homologada
EM172,Construção,Baixo,Pendente
EM173,Manutenção,Alto,Homologada
EM174,Logística,Baixo,Homologada
EM175,Manutenção,Baixo,Homologada
EM176,Serviços,Médio,Homologada
EM177,Manutenção,Médio,Homologada
EM178,Manutenção,Médio,Homologada
EM179,Consultoria,Médio,Homologada
EM180,Logística,Baixo,Homologada
EM181,Construção,Baixo,Homologada
EM182,Consultoria,Médio,Homologada
EM183,Consultoria,Médio,Homologada
EM184,Logística,Médio,Bloqueada
EM185,Logística,Alto,Homologada
EM186,Logística,Médio,Homologada
EM187,Consultoria,Baixo,Homologada
EM188,Serviços,Baixo,Bloqueada
EM189,Construção,Baixo,Homologada
EM190,Logística,Baixo,Homologada
EM191,Manutenção,Baixo,Homologada
EM192,Consultoria,Baixo,Homologada
EM193,Serviços,Baixo,Homologada
EM194,Serviços,Alto,Homologada
EM195,Manutenção,Baixo,Homologada
EM196,Construção,Baixo,Homologada
EM197,Consultoria,Médio,Homologada
EM198,Consultoria,Baixo,Pendente
EM199,Consultoria,Médio,Homologada
EM200,Logística,Alto,Homologada
EM201,Serviços,Médio,Homologada
EM202,Manutenção,Baixo,Pendente
EM203,Construção,Alto,Homologada
EM204,Consultoria,Médio,Bloqueada
EM205,Consultoria,Médio,Homologada
EM206,Logística,Médio,Homologada
EM207,Serviços,Médio,Homologada
EM208,Serviços,Baixo,Homologada
EM209,Construção,Médio,Bloqueada
EM210,Construção,Médio,Pendente
EM211,Construção,Médio,Homologada
EM212,Manutenção,Baixo,Pendente
EM213,Manutenção,Alto,Pendente
EM214,Construção,Alto,Homologada
EM215,Consultoria,Alto,Homologada
EM216,Manutenção,Baixo,Homologada
EM217,Construção,Baixo,Homologada
EM218,Construção,Alto,Homologada
EM219,Consultoria,Alto,Homologada
EM220,Construção,Médio,Pendente
