terceiro_id,empresa_id,funcao,data_inicio,data_fim,status
TE00001,EM200,Consultor,2026-04-25,2024-06-22,Ativo
TE00002,EM014,Inspetor,2024-05-29,2024-11-09,Ativo
TE00003,EM048,Montador,2026-06-27,2025-04-25,Ativo
TE00004,EM211,Consultor,2025-01-11,2025-04-06,Ativo
TE00005,EM218,Técnico,2025-09-26,2026-07-05,Ativo
TE00006,EM094,Inspetor,2026-03-06,2026-07-20,Ativo
TE00007,EM141,Motorista,2024-04-17,2026-07-05,Ativo
TE00008,EM168,Inspetor,2024-04-22,2026-07-21,Inativo
TE00009,EM095,Técnico,2026-02-20,2025-02-20,Ativo
TE00010,EM189,Consultor,2026-04-02,2024-07-29,Ativo
TE00011,EM199,Inspetor,2024-10-27,2024-08-15,Inativo
TE00012,EM173,Montador,2024-12-19,2026-01-06,Ativo
TE00013,EM035,Inspetor,2024-06-19,2025-05-27,Ativo
TE00014,EM146,Inspetor,2026-05-08,2024-09-08,Ativo
TE00015,EM156,Montador,2025-05-04,2025-12-05,Ativo
TE00016,EM015,Inspetor,2024-02-26,2026-06-03,Ativo
TE00017,EM059,Consultor,2024-10-09,2024-06-20,Ativo
TE00018,EM132,Inspetor,2025-01-10,2026-07-23,Ativo
TE00019,EM026,Consultor,2024-12-02,2026-07-16,Ativo
TE00020,EM162,Motorista,2024-05-04,2024-03-13,Ativo
TE00021,EM205,Consultor,2024-01-14,2025-02-18,Ativo
TE00022,EM100,Inspetor,2024-06-15,2024-01-16,Ativo
TE00023,EM069,Técnico,2025-07-03,2026-05-30,Ativo
TE00024,EM219,Técnico,2024-05-22,2024-09-03,Inativo
TE00025,EM133,Inspetor,2025-01-06,2026-07-29,Ativo
TE00026,EM139,Motorista,2025-12-14,2026-01-06,Inativo
TE00027,EM157,Montador,2026-01-14,2025-04-07,Inativo
TE00028,EM152,Técnico,2026-02-11,2025-03-27,Ativo
TE00029,EM032,Técnico,2025-11-29,2025-02-25,Ativo
TE00030,EM158,Técnico,2024-01-02,2025-11-21,Ativo
TE00031,EM218,Inspetor,2025-01-27,2025-06-14,Ativo
TE00032,EM008,Técnico,2026-02-26,2024-03-25,Ativo
TE00033,EM157,Motorista,2024-04-01,2025-12-04,Ativo
TE00034,EM162,Inspetor,2024-07-27,2026-03-09,Ativo
TE00035,EM119,Consultor,2024-12-15,2025-12-12,Ativo
TE00036,EM083,Inspetor,2026-06-27,2024-10-26,Ativo
TE00037,EM215,Motorista,2024-06-11,2026-01-10,Ativo
TE00038,EM166,Consultor,2024-08-05,2026-02-16,Ativo
TE00039,EM203,Técnico,2024-04-30,2025-02-07,Ativo
TE00040,EM152,Técnico,2024-01-20,2024-06-14,Ativo
TE00041,EM104,Inspetor,2025-03-25,2025-09-16,Ativo
TE00042,EM104,Inspetor,2024-10-13,2025-07-30,Ativo
TE00043,EM008,Técnico,2024-10-14,2024-03-20,Ativo
TE00044,EM110,Consultor,2024-07-08,2024-06-02,Ativo
TE00045,EM194,Consultor,2026-01-21,2026-01-26,Ativo
TE00046,EM120,Motorista,2024-03-28,2024-09-28,Inativo
TE00047,EM036,Motorista,2025-02-28,2024-10-18,Ativo
TE00048,EM191,Inspetor,2024-07-22,2026-06-12,Ativo
TE00049,EM024,Motorista,2025-08-15,2024-02-01,Ativo
TE00050,EM156,Inspetor,2025-06-13,2024-04-30,Bloqueado
TE00051,EM013,Inspetor,2025-12-28,2025-09-13,Ativo
TE00052,EM045,Montador,2026-01-27,2024-11-21,Inativo
TE00053,EM100,Motorista,2025-07-04,2026-06-30,Ativo
TE00054,EM106,Inspetor,2025-04-16,2024-09-11,Ativo
TE00055,EM104,Motorista,2025-01-07,2025-12-04,Ativo
TE00056,EM058,Técnico,2025-01-17,2024-04-12,Inativo
TE00057,EM068,Consultor,2025-10-12,2026-03-10,Ativo
TE00058,EM015,Técnico,2025-12-26,2024-10-19,Ativo
TE00059,EM218,Montador,2025-04-28,2026-03-31,Ativo
TE00060,EM007,Consultor,2024-04-29,2024-01-03,Inativo
TE00061,EM009,Montador,2025-05-29,2026-07-14,Ativo
TE00062,EM065,Montador,2025-03-21,2025-04-17,Inativo
TE00063,EM145,Motorista,2024-09-06,2024-12-20,Ativo
TE00064,EM117,Consultor,2024-04-21,2025-05-04,Ativo
TE00065,EM189,Consultor,2024-10-10,2024-01-09,Ativo
TE00066,EM131,Montador,2025-10-04,2024-09-04,Ativo
TE00067,EM025,Técnico,2026-01-06,2026-01-26,Ativo
TE00068,EM073,Montador,2026-03-29,2025-05-07,Ativo
TE00069,EM024,Motorista,2024-07-24,2025-04-13,Ativo
TE00070,EM179,Consultor,2025-11-11,2025-09-02,Ativo
TE00071,EM140,Técnico,2026-06-07,2024-12-30,Ativo
TE00072,EM187,Motorista,2024-07-26,2026-07-10,Ativo
TE00073,EM119,Consultor,2024-01-12,2026-02-23,Ativo
TE00074,EM116,Motorista,2025-09-26,2024-09-10,Ativo
TE00075,EM133,Montador,2026-07-19,2025-01-10,Ativo
TE00076,EM194,Montador,2024-09-30,2026-05-20,Ativo
TE00077,EM173,Técnico,2024-03-19,2024-09-14,Ativo
TE00078,EM143,Montador,2024-07-01,2025-03-28,Ativo
TE00079,EM153,Montador,2024-07-23,2025-11-28,Ativo
TE00080,EM058,Técnico,2026-06-24,2025-12-22,Ativo
TE00081,EM038,Montador,2026-03-15,2025-03-20,Inativo
TE00082,EM018,Motorista,2025-12-21,2025-03-24,Ativo
TE00083,EM154,Motorista,2025-12-16,2025-11-27,Ativo
TE00084,EM147,Consultor,2026-04-21,2024-12-06,Ativo
TE00085,EM190,Inspetor,2024-06-04,2026-06-22,Ativo
TE00086,EM209,Inspetor,2026-03-30,2026-05-08,Inativo
TE00087,EM001,Consultor,2026-03-24,2024-02-07,Ativo
TE00088,EM137,Técnico,2024-12-28,2025-02-11,Ativo
TE00089,EM190,Inspetor,2026-02-10,2025-09-10,Bloqueado
TE00090,EM159,Inspetor,2025-09-13,2025-05-01,Ativo
TE00091,EM132,Motorista,2026-05-26,2026-03-22,Ativo
TE00092,EM079,Inspetor,2025-01-26,2025-03-18,Inativo
TE00093,EM019,Inspetor,2024-03-03,2025-07-25,Ativo
TE00094,EM123,Consultor,2024-05-28,2026-01-24,Ativo
TE00095,EM048,Motorista,2024-03-28,2025-10-24,Ativo
TE00096,EM032,Técnico,2025-06-20,2024-03-06,Ativo
TE00097,EM156,Motorista,2024-11-25,2026-07-27,Ativo
TE00098,EM192,Inspetor,2026-04-23,2025-06-04,Ativo
TE00099,EM183,Consultor,2025-11-14,2025-08-15,Inativo
TE00100,EM081,Técnico,2026-06-05,2026-07-10,Ativo
TE00101,EM048,Inspetor,2025-03-08,2024-01-16,Ativo
TE00102,EM063,Motorista,2025-11-20,2024-05-25,Ativo
TE00103,EM007,Montador,2025-12-18,2025-03-20,Inativo
TE00104,EM062,Técnico,2024-06-28,2026-05-05,Inativo
TE00105,EM023,Inspetor,2025-11-07,2026-01-23,Ativo
TE00106,EM047,Inspetor,2025-03-04,2025-11-12,Inativo
TE00107,EM173,Motorista,2024-06-01,2026-05-16,Ativo
TE00108,EM209,Inspetor,2026-01-07,2024-11-25,Inativo
TE00109,EM043,Motorista,2024-01-03,2025-06-15,Ativo
TE00110,EM116,Inspetor,2026-05-23,2024-06-07,Ativo
TE00111,EM140,Montador,2026-04-26,2024-05-11,Ativo
TE00112,EM205,Inspetor,2026-04-25,2024-03-08,Ativo
TE00113,EM170,Inspetor,2026-07-20,2026-06-08,Ativo
TE00114,EM191,Motorista,2026-01-30,2024-04-08,Ativo
TE00115,EM198,Inspetor,2026-02-01,2024-03-20,Ativo
TE00116,EM053,Técnico,2025-08-17,2026-04-30,Ativo
TE00117,EM212,Montador,2026-06-08,2025-03-09,Ativo
TE00118,EM126,Técnico,2025-05-12,2025-09-06,Ativo
TE00119,EM049,Montador,2024-11-26,2025-11-24,Ativo
TE00120,EM012,Inspetor,2025-10-08,2024-01-13,Ativo
TE00121,EM078,Consultor,2025-10-05,2025-12-08,Ativo
TE00122,EM091,Técnico,2025-02-24,2025-09-20,Bloqueado
TE00123,EM023,Motorista,2026-05-18,2025-06-10,Ativo
TE00124,EM160,Técnico,2026-04-29,2025-06-05,Ativo
TE00125,EM139,Consultor,2024-07-13,2025-11-30,Inativo
TE00126,EM219,Montador,2024-09-29,2024-05-09,Ativo
TE00127,EM146,Consultor,2024-03-12,2024-03-06,Ativo
TE00128,EM014,Motorista,2024-08-20,2024-05-15,Bloqueado
TE00129,EM184,Inspetor,2026-05-22,2026-03-05,Ativo
TE00130,EM049,Inspetor,2025-09-29,2025-06-01,Inativo
TE00131,EM217,Motorista,2025-10-28,2025-12-26,Ativo
TE00132,EM131,Técnico,2025-08-11,2026-04-09,Ativo
TE00133,EM210,Motorista,2024-05-26,2025-06-27,Inativo
TE00134,EM101,Montador,2024-04-10,2025-11-15,Inativo
TE00135,EM133,Consultor,2026-03-23,2026-01-27,Ativo
TE00136,EM054,Consultor,2025-09-05,2025-08-04,Bloqueado
TE00137,EM185,Montador,2026-06-25,2024-11-06,Ativo
TE00138,EM182,Técnico,2026-03-29,2024-01-15,Ativo
TE00139,EM100,Técnico,2025-10-26,2024-04-18,Ativo
TE00140,EM011,Técnico,2024-09-03,2024-05-21,Ativo
TE00141,EM028,Técnico,2024-01-06,2024-10-09,Bloqueado
TE00142,EM180,Técnico,2025-02-18,2024-10-26,Ativo
TE00143,EM156,Motorista,2025-12-29,2024-05-25,Ativo
TE00144,EM015,Montador,2024-02-18,2025-12-23,Inativo
TE00145,EM139,Motorista,2025-01-03,2025-01-23,Ativo
TE00146,EM044,Consultor,2024-12-23,2025-04-12,Ativo
TE00147,EM044,Inspetor,2024-01-17,2026-07-10,Ativo
TE00148,EM216,Técnico,2024-07-06,2024-05-27,Ativo
TE00149,EM126,Técnico,2026-07-26,2024-10-07,Ativo
TE00150,EM108,Consultor,2024-10-10,2024-10-21,Ativo
TE00151,EM202,Inspetor,2024-09-10,2025-08-05,Ativo
TE00152,EM187,Montador,2026-03-20,2025-08-01,Ativo
TE00153,EM036,Montador,2025-02-14,2025-05-28,Ativo
TE00154,EM160,Técnico,2024-06-03,2026-04-13,Ativo
TE00155,EM053,Motorista,2024-10-01,2025-12-30,Ativo
TE00156,EM073,Montador,2025-09-11,2025-06-29,Inativo
TE00157,EM045,Consultor,2025-10-19,2024-10-18,Ativo
TE00158,EM084,Técnico,2024-12-19,2026-03-06,Ativo
TE00159,EM202,Consultor,2025-02-04,2024-06-07,Ativo
TE00160,EM092,Montador,2024-01-24,2025-05-06,Ativo
TE00161,EM164,Montador,2024-01-03,2024-05-05,Ativo
TE00162,EM119,Técnico,2025-04-29,2024-04-13,Inativo
TE00163,EM041,Motorista,2024-12-14,2026-03-25,Ativo
TE00164,EM076,Inspetor,2025-05-10,2026-04-01,Ativo
TE00165,EM097,Motorista,2026-06-23,2024-11-10,Ativo
TE00166,EM058,Motorista,2024-01-18,2025-11-11,Ativo
TE00167,EM094,Inspetor,2024-10-09,2024-04-08,Ativo
TE00168,EM161,Motorista,2024-03-24,2025-02-18,Ativo
TE00169,EM121,Montador,2024-02-29,2024-06-12,Inativo
TE00170,EM121,Consultor,2025-10-04,2025-08-23,Ativo
TE00171,EM182,Montador,2025-03-04,2025-11-17,Ativo
TE00172,EM165,Inspetor,2025-10-14,2026-02-16,Ativo
TE00173,EM136,Técnico,2025-06-17,2024-05-03,Ativo
TE00174,EM154,Inspetor,2025-05-23,2024-06-01,Ativo
TE00175,EM103,Montador,2026-02-18,2025-05-25,Ativo
TE00176,EM121,Inspetor,2025-12-04,2025-04-10,Inativo
TE00177,EM077,Montador,2024-11-20,2024-02-09,Ativo
TE00178,EM033,Montador,2025-10-08,2025-06-17,Ativo
TE00179,EM139,Consultor,2025-06-23,2025-06-18,Inativo
TE00180,EM160,Motorista,2026-01-07,2024-05-08,Ativo
TE00181,EM130,Consultor,2025-09-24,2024-07-25,Ativo
TE00182,EM048,Motorista,2024-06-13,2024-03-31,Ativo
TE00183,EM156,Motorista,2024-12-21,2026-02-19,Inativo
TE00184,EM179,Inspetor,2025-11-04,2025-11-20,Inativo
TE00185,EM171,Motorista,2025-01-16,2026-04-15,Ativo
TE00186,EM044,Consultor,2025-09-15,2024-05-14,Ativo
TE00187,EM113,Técnico,2025-10-19,2024-05-20,Ativo
TE00188,EM184,Montador,2025-05-19,2025-08-07,Bloqueado
TE00189,EM154,Técnico,2024-04-03,2024-02-24,Ativo
TE00190,EM180,Consultor,2025-09-19,2025-09-29,Inativo
TE00191,EM021,Técnico,2024-08-20,2025-05-02,Ativo
TE00192,EM085,Técnico,2025-08-24,2024-05-04,Inativo
TE00193,EM137,Consultor,2026-04-27,2026-02-10,Inativo
TE00194,EM086,Técnico,2024-06-25,2025-04-10,Ativo
TE00195,EM094,Montador,2025-12-17,2024-11-24,Ativo
TE00196,EM086,Consultor,2026-03-12,2026-03-10,Ativo
TE00197,EM154,Técnico,2025-10-29,2025-05-29,Ativo
TE00198,EM108,Motorista,2026-04-01,2025-11-06,Ativo
TE00199,EM020,Motorista,2025-03-09,2024-11-27,Ativo
TE00200,EM018,Técnico,2025-12-20,2025-11-03,Ativo
TE00201,EM212,Motorista,2025-03-18,2024-09-11,Ativo
TE00202,EM012,Montador,2025-09-25,2024-01-13,Bloqueado
TE00203,EM213,Inspetor,2025-11-23,2025-11-19,Bloqueado
TE00204,EM214,Técnico,2024-10-31,2024-12-11,Ativo
TE00205,EM145,Montador,2025-05-29,2025-10-08,Ativo
TE00206,EM153,Consultor,2026-01-28,2024-03-13,Ativo
TE00207,EM104,Montador,2024-06-14,2026-06-26,Ativo
TE00208,EM017,Montador,2024-08-01,2024-08-11,Inativo
TE00209,EM113,Inspetor,2024-09-14,2026-07-05,Ativo
TE00210,EM018,Consultor,2026-06-20,2024-01-09,Ativo
