visita_id,terceiro_id,data_visita,unidade,motivo,status
VI00001,TE00833,2024-12-21,Jaboticabal,Auditoria,Realizada
VI00002,TE01760,2026-03-09,Jaboticabal,Reunião,Realizada
VI00003,TE02446,2025-01-10,Joinville,Reunião,Realizada
VI00004,TE01814,2024-09-08,Guarulhos,Reunião,Realizada
VI00005,TE01130,2026-02-05,Jaboticabal,Auditoria,Realizada
VI00006,TE00292,2024-09-26,Joinville,Serviço,Realizada
VI00007,TE02580,2026-01-10,Guarulhos,Reunião,Realizada
VI00008,TE02909,2025-03-29,Guarulhos,Entrega,Realizada
VI00009,TE02266,2026-04-08,Jaboticabal,Entrega,Realizada
VI00010,TE00258,2025-07-01,Guarulhos,Reunião,Realizada
VI00011,TE01993,2026-07-20,Jaboticabal,Reunião,Realizada
VI00012,TE00485,2025-02-06,Joinville,Reunião,Realizada
VI00013,TE01589,2025-08-03,Joinville,Reunião,Realizada
VI00014,TE00399,2024-12-03,Joinville,Serviço,Realizada
VI00015,TE00255,2024-05-23,Joinville,Serviço,Realizada
VI00016,TE02204,2026-06-21,Joinville,Entrega,Realizada
VI00017,TE01741,2025-07-25,Joinville,Reunião,Realizada
VI00018,TE01702,2024-07-13,Jaboticabal,Reunião,Realizada
VI00019,TE02159,2025-06-10,Jaboticabal,Auditoria,Realizada
VI00020,TE02610,2024-05-06,Jaboticabal,Reunião,Realizada
VI00021,TE02371,2025-04-10,Jaboticabal,Reunião,Realizada
VI00022,TE02995,2025-11-12,Guarulhos,Auditoria,Realizada
VI00023,TE03128,2024-02-11,Guarulhos,Reunião,Realizada
VI00024,TE00725,2024-02-07,Jaboticabal,Auditoria,Realizada
VI00025,TE00183,2025-03-11,Joinville,Reunião,Realizada
VI00026,TE02718,2024-06-16,Jaboticabal,Serviço,Realizada
VI00027,TE00202,2026-04-18,Joinville,Auditoria,Cancelada
VI00028,TE02562,2024-03-06,Guarulhos,Serviço,Realizada
VI00029,TE01264,2025-09-19,Jaboticabal,Entrega,Realizada
VI00030,TE03176,2025-01-02,Jaboticabal,Reunião,Realizada
VI00031,TE03037,2024-08-11,Joinville,Entrega,Agendada
VI00032,TE01927,2025-10-17,Joinville,Reunião,Agendada
VI00033,TE01173,2025-05-12,Jaboticabal,Auditoria,Agendada
VI00034,TE01637,2026-06-17,Guarulhos,Reunião,Cancelada
VI00035,TE00261,2026-01-26,Guarulhos,Serviço,Realizada
VI00036,TE01544,2025-10-09,Guarulhos,Reunião,Realizada
VI00037,TE01589,2024-02-24,Guarulhos,Entrega,Agendada
VI00038,TE02030,2025-08-29,Guarulhos,Auditoria,Realizada
VI00039,TE00282,2025-02-05,Guarulhos,Reunião,Realizada
VI00040,TE02060,2024-02-06,Joinville,Auditoria,Realizada
VI00041,TE00333,2024-08-27,Jaboticabal,Auditoria,Realizada
VI00042,TE01406,2026-04-09,Jaboticabal,Reunião,Realizada
VI00043,TE02830,2025-04-26,Joinville,Entrega,Cancelada
VI00044,TE00922,2025-06-29,Jaboticabal,Reunião,Realizada
VI00045,TE02161,2024-12-19,Joinville,Entrega,Agendada
VI00046,TE01073,2024-09-13,Jaboticabal,Auditoria,Agendada
VI00047,TE00196,2026-06-04,Joinville,Reunião,Realizada
VI00048,TE02352,2025-03-19,Guarulhos,Serviço,Realizada
VI00049,TE02312,2024-05-18,Guarulhos,Auditoria,Realizada
VI00050,TE01428,2026-02-22,Guarulhos,Auditoria,Realizada
VI00051,TE02990,2025-07-18,Guarulhos,Entrega,Agendada
VI00052,TE00562,2024-01-31,Jaboticabal,Serviço,Realizada
VI00053,TE00624,2026-06-14,Guarulhos,Entrega,Realizada
