tabela,campo,tipo
empresas,empresa_id,object
empresas,segmento,object
empresas,risco,object
empresas,status,object
terceiros,terceiro_id,object
terceiros,empresa_id,object
terceiros,funcao,object
terceiros,data_inicio,datetime64[ns]
terceiros,data_fim,datetime64[ns]
terceiros,status,object
documentos,documento_id,object
documentos,terceiro_id,object
documentos,tipo,object
documentos,validade,datetime64[ns]
documentos,status,object
visitas,visita_id,object
visitas,terceiro_id,object
visitas,data_visita,datetime64[ns]
visitas,unidade,object
visitas,motivo,object
visitas,status,object
acessos,acesso_id,object
acessos,visita_id,object
acessos,data_hora,datetime64[ns]
acessos,ponto,object
acessos,evento,object
