projeto_id;comprador_id;fornecedor_id;data_abertura;categoria;baseline;meta_saving_pct;status
CS00001;  CB029  ;FO0272;2024-08-29 00:00:00;Otimização;3879,11;0,0359;Cancelado
CS00002;  CB030  ;FO0106;2024-09-06 00:00:00;Bidding;10962,0;0,0893;Concluído
CS00003;  CB028  ;FO0232;2024-01-28 00:00:00;Otimização;6544,81;0,0925;Concluído
CS00004;  CB017  ;FO0149;2025-11-08 00:00:00;Renegociação;7821,29;0,0367;Concluído
CS00005;CB021;FO0132;2024-01-29 00:00:00;Substituição;4922,58;0,0971;Concluído
CS00006;CB015;FO0054;2025-10-30 00:00:00;Substituição;854,7;0,1551;Concluído
CS00007;CB011;FO0075;2025-02-23 00:00:00;Otimização;26803,86;0,1172;Concluído
CS00008;CB032;FO0061;2026-03-19 00:00:00;Bidding;4778,14;0,0546;Em execução
CS00009;CB010;FO0243;2025-11-20 00:00:00;Renegociação;7113,22;0,0491;Em mensuração
CS00010;CB017;FO0305;2026-06-07 00:00:00;Renegociação;3697,53;0,1524;Concluído
CS00011;CB029;FO0148;2025-12-25 00:00:00;Renegociação;7377,41;0,1697;Concluído
CS00012;CB026;FO0264;2025-07-30 00:00:00;Bidding;9810,41;0,153;Concluído
CS00013;CB038;FO0058;2026-06-05 00:00:00;Substituição;14545,3;0,1041;Em execução
CS00014;CB019;FO0261;2026-01-09 00:00:00;Renegociação;17480,32;0,1613;Em mensuração
CS00015;CB029;FO0276;2026-07-20 00:00:00;Substituição;27907,14;0,086;Concluído
CS00016;CB001;FO0133;2025-05-01 00:00:00;Otimização;6099,93;0,1295;Em execução
CS00017;CB015;FO0025;2025-02-07 00:00:00;Bidding;10216,37;0,0424;Concluído
CS00018;CB025;FO0205;2026-01-09 00:00:00;Otimização;5471,56;0,1346;Em mensuração
CS00019;CB032;FO0119;2026-05-23 00:00:00;Substituição;17889,48;0,1308;Concluído
CS00020;CB020;FO0182;2026-03-21 00:00:00;Renegociação;4900,36;0,1199;Em execução
CS00021;CB013;FO0320;2024-08-31 00:00:00;Renegociação;13890,49;0,1236;Concluído
CS00022;CB003;FO0163;2025-12-11 00:00:00;Otimização;24678,88;0,1507;Concluído
CS00023;CB010;FO0022;2024-05-15 00:00:00;Renegociação;4655,19;0,1559;Cancelado
CS00024;CB037;FO0117;2026-07-19 00:00:00;Otimização;2949,02;0,1272;Concluído
CS00025;CB028;FO0122;2024-02-23 00:00:00;Bidding;8174,2;0,1226;Concluído
CS00026;CB017;FO0255;2026-04-14 00:00:00;Renegociação;2707,82;0,0695;Concluído
CS00027;CB009;FO0063;2026-07-29 00:00:00;Otimização;16758,25;0,1735;Em execução
CS00028;CB025;FO0132;2024-12-27 00:00:00;Bidding;12083,12;0,058;Em execução
CS00029;CB026;FO0255;2024-01-01 00:00:00;Renegociação;34115,8;0,0606;Concluído
CS00030;CB006;FO0071;2025-02-02 00:00:00;Renegociação;3242,66;0,0611;Concluído
CS00031;CB023;FO0057;2025-11-16 00:00:00;Substituição;31299,56;0,0687;Em mensuração
CS00032;CB035;FO0118;2025-02-13 00:00:00;Otimização;3515,79;0,1172;Em mensuração
CS00033;CB004;FO0318;2024-06-21 00:00:00;Renegociação;7025,15;0,0554;Concluído
CS00034;CB017;FO0082;2026-02-17 00:00:00;Substituição;13033,02;0,1012;Concluído
CS00035;CB039;FO0254;2024-05-01 00:00:00;Bidding;9353,06;0,0932;Em execução
CS00036;CB012;FO0192;2024-05-08 00:00:00;Bidding;16554,32;0,0232;Concluído
CS00037;CB036;FO0157;2026-03-18 00:00:00;Substituição;3454,02;0,0321;Em execução
CS00038;CB031;FO0082;2024-07-15 00:00:00;Substituição;4001,28;0,0843;Concluído
CS00039;CB035;FO0130;2024-11-27 00:00:00;Renegociação;8818,86;0,137;Concluído
CS00040;CB039;FO0294;2025-12-26 00:00:00;Otimização;15755,2;0,0282;Concluído
CS00041;CB024;FO0083;2025-08-23 00:00:00;Renegociação;16719,9;0,0259;Cancelado
CS00042;CB028;FO0224;2026-05-02 00:00:00;Renegociação;1819,0;0,0634;Concluído
CS00043;CB016;FO0255;2025-02-20 00:00:00;Bidding;10115,86;0,0384;Concluído
CS00044;CB023;FO0088;2025-04-21 00:00:00;Renegociação;8940,73;0,0935;Concluído
CS00045;CB021;FO0156;2024-05-20 00:00:00;Otimização;2923,62;0,1154;Em execução
CS00046;CB004;FO0135;2025-09-12 00:00:00;Substituição;9246,21;0,1647;Concluído
CS00047;CB027;FO0240;2026-05-03 00:00:00;Bidding;11432,84;0,0905;Concluído
CS00048;CB018;FO0149;2025-10-09 00:00:00;Substituição;28044,23;0,1627;Concluído
CS00049;CB003;FO0027;2026-07-24 00:00:00;Renegociação;8537,57;0,167;Concluído
CS00050;CB020;FO0067;2024-10-18 00:00:00;Substituição;4728,93;0,1393;Em mensuração
CS00051;CB030;FO0178;2025-01-20 00:00:00;Substituição;3592,38;0,1502;Em execução
CS00052;CB040;FO0086;2025-09-28 00:00:00;Substituição;1391,29;0,0849;Em execução
CS00053;CB025;FO0227;2024-02-10 00:00:00;Bidding;5021,59;0,05;Em execução
CS00054;CB023;FO0211;2026-03-07 00:00:00;Renegociação;17212,0;0,0461;Concluído
CS00055;CB031;FO0302;2024-06-02 00:00:00;Otimização;24102,19;0,1518;Em execução
CS00056;CB033;FO0211;2025-01-12 00:00:00;Substituição;6390,66;0,0547;Em execução
CS00057;CB018;FO0218;2026-02-04 00:00:00;Otimização;5961,58;0,1496;Em execução
CS00058;CB040;FO0114;2025-03-17 00:00:00;Substituição;21048,94;0,1242;Concluído
CS00059;CB016;FO0043;2026-06-02 00:00:00;Renegociação;8515,15;0,1625;Concluído
CS00060;CB029;FO0157;2024-04-14 00:00:00;Renegociação;4686,08;0,1424;Em mensuração
CS00061;CB006;FO0315;2026-05-09 00:00:00;Renegociação;23786,09;0,1087;Concluído
CS00062;CB005;FO0301;2025-06-30 00:00:00;Substituição;8356,05;0,0468;Em execução
CS00063;CB022;FO0123;2025-05-08 00:00:00;Bidding;8923,25;0,0525;Em execução
CS00064;CB029;FO0039;2024-04-12 00:00:00;Substituição;8481,01;0,0533;Concluído
CS00065;CB033;FO0125;2024-07-10 00:00:00;Renegociação;2883,77;0,0294;Concluído
CS00066;CB013;FO0053;2025-12-28 00:00:00;Otimização;7566,91;0,0854;Em mensuração
CS00067;CB012;FO0182;2025-04-06 00:00:00;Bidding;18899,1;0,062;Concluído
CS00068;CB015;FO0315;2025-06-19 00:00:00;Bidding;3428,74;0,1434;Concluído
CS00069;CB019;FO0264;2024-06-22 00:00:00;Renegociação;3232,88;0,0241;Concluído
CS00070;CB021;FO0023;2025-01-08 00:00:00;Substituição;11592,9;0,1367;Em execução
CS00071;CB003;FO0033;2026-03-15 00:00:00;Otimização;6638,76;0,0425;Em mensuração
CS00072;CB031;FO0080;2025-04-18 00:00:00;Renegociação;7294,29;0,0229;Em mensuração
CS00073;CB020;FO0131;2025-11-19 00:00:00;Bidding;7238,98;0,0647;Em mensuração
CS00074;CB011;FO0010;2024-03-06 00:00:00;Renegociação;7314,22;0,0437;Em execução
CS00075;CB040;FO0238;2024-10-12 00:00:00;Renegociação;4892,91;0,131;Em execução
CS00076;CB014;FO0251;2025-10-21 00:00:00;Substituição;33757,53;0,117;Concluído
CS00077;CB022;FO0222;2025-06-18 00:00:00;Renegociação;6223,6;0,1463;Em mensuração
CS00078;CB037;FO0158;2025-03-18 00:00:00;Otimização;34218,84;0,0572;Cancelado
CS00079;CB036;FO0116;2026-07-22 00:00:00;Bidding;28346,42;0,0801;Em execução
CS00080;CB035;FO0315;2025-05-03 00:00:00;Renegociação;2515,99;0,0826;Concluído
CS00081;CB008;FO0126;2025-08-02 00:00:00;Renegociação;6191,94;0,0244;Concluído
CS00082;CB029;FO0129;2025-07-16 00:00:00;Bidding;7367,94;0,1259;Em mensuração
