fornecedor_id,categoria,score,status
FO0001,Logística,0.677,Ativo
FO0002,MRO,0.87,Ativo
FO0003,Logística,0.608,Ativo
FO0004,Embalagens,0.77,Ativo
FO0005,Serviços,0.695,Ativo
FO0006,Embalagens,0.856,Ativo
FO0007,MRO,0.663,Ativo
FO0008,Serviços,0.928,Ativo
FO0009,MRO,0.85,Ativo
FO0010,MRO,0.83,Ativo
FO0011,Químicos,0.956,Ativo
FO0012,Serviços,0.911,Ativo
FO0013,Embalagens,0.756,Ativo
FO0014,Químicos,0.732,Ativo
FO0015,Embalagens,0.857,Ativo
FO0016,Embalagens,0.925,Ativo
FO0017,Químicos,0.899,Ativo
FO0018,Embalagens,0.864,Ativo
FO0019,Logística,0.641,Ativo
FO0020,Serviços,0.981,Ativo
FO0021,Serviços,0.723,Homologação
FO0022,Logística,0.892,Ativo
FO0023,Químicos,0.931,Ativo
FO0024,Químicos,0.668,Ativo
FO0025,Embalagens,0.621,Homologação
FO0026,Serviços,0.809,Ativo
FO0027,MRO,0.651,Ativo
FO0028,Químicos,0.695,Ativo
FO0029,Logística,0.773,Ativo
FO0030,Químicos,0.836,Ativo
FO0031,Logística,0.778,Ativo
FO0032,Serviços,0.933,Ativo
FO0033,Embalagens,0.77,Ativo
FO0034,MRO,0.725,Ativo
FO0035,Logística,0.869,Ativo
FO0036,MRO,0.761,Ativo
FO0037,Logística,0.735,Ativo
FO0038,Logística,0.781,Ativo
FO0039,Embalagens,0.626,Ativo
FO0040,Químicos,0.801,Ativo
FO0041,Serviços,0.807,Ativo
FO0042,Embalagens,0.649,Ativo
FO0043,Embalagens,0.612,Ativo
FO0044,Serviços,0.788,Ativo
FO0045,Logística,0.717,Ativo
FO0046,MRO,0.604,Ativo
FO0047,Embalagens,0.777,Ativo
FO0048,Logística,0.88,Ativo
FO0049,MRO,0.794,Ativo
FO0050,Químicos,0.908,Ativo
FO0051,MRO,0.746,Ativo
FO0052,Embalagens,0.857,Ativo
FO0053,Químicos,0.704,Homologação
FO0054,MRO,0.874,Ativo
FO0055,Químicos,0.66,Ativo
FO0056,Químicos,0.843,Ativo
FO0057,MRO,0.756,Ativo
FO0058,Serviços,0.643,Ativo
FO0059,MRO,0.806,Ativo
FO0060,MRO,0.709,Ativo
FO0061,Embalagens,0.71,Ativo
FO0062,Embalagens,0.683,Ativo
FO0063,Logística,0.631,Ativo
FO0064,Logística,0.657,Ativo
FO0065,Embalagens,0.782,Ativo
FO0066,MRO,0.755,Homologação
FO0067,Químicos,0.682,Bloqueado
FO0068,Embalagens,0.833,Ativo
FO0069,Químicos,0.941,Ativo
FO0070,MRO,0.794,Ativo
FO0071,MRO,0.833,Ativo
FO0072,Químicos,0.975,Ativo
FO0073,Serviços,0.88,Ativo
FO0074,MRO,0.926,Ativo
FO0075,MRO,0.888,Ativo
FO0076,Químicos,0.671,Homologação
FO0077,MRO,0.981,Ativo
FO0078,Químicos,0.86,Homologação
FO0079,MRO,0.732,Homologação
FO0080,Químicos,0.95,Ativo
FO0081,Embalagens,0.771,Ativo
FO0082,MRO,0.65,Ativo
FO0083,Químicos,0.759,Ativo
FO0084,Logística,0.731,Ativo
FO0085,Embalagens,0.742,Ativo
FO0086,Logística,0.829,Ativo
FO0087,Embalagens,0.941,Ativo
FO0088,Embalagens,0.74,Ativo
FO0089,Embalagens,0.764,Ativo
FO0090,MRO,0.838,Ativo
FO0091,Químicos,0.94,Homologação
FO0092,Químicos,0.67,Ativo
FO0093,Químicos,0.64,Homologação
FO0094,Logística,0.7,Ativo
FO0095,MRO,0.661,Ativo
FO0096,Químicos,0.798,Ativo
FO0097,Serviços,0.864,Ativo
FO0098,Serviços,0.774,Ativo
FO0099,MRO,0.973,Ativo
FO0100,Químicos,0.72,Ativo
FO0101,MRO,0.706,Ativo
FO0102,Químicos,0.717,Ativo
FO0103,Químicos,0.707,Ativo
FO0104,Embalagens,0.836,Ativo
FO0105,MRO,0.828,Ativo
FO0106,MRO,0.893,Ativo
FO0107,Logística,0.738,Ativo
FO0108,Logística,0.853,Ativo
FO0109,MRO,0.836,Ativo
FO0110,Embalagens,0.915,Ativo
FO0111,Químicos,0.715,Ativo
FO0112,Serviços,0.656,Ativo
FO0113,Serviços,0.622,Ativo
FO0114,Serviços,0.615,Ativo
FO0115,MRO,0.985,Ativo
FO0116,Químicos,0.726,Ativo
FO0117,Logística,0.902,Ativo
FO0118,Embalagens,0.683,Ativo
FO0119,MRO,0.772,Ativo
FO0120,Químicos,0.921,Ativo
FO0121,Embalagens,0.746,Ativo
FO0122,Químicos,0.638,Ativo
FO0123,Serviços,0.959,Ativo
FO0124,Embalagens,0.955,Ativo
FO0125,Logística,0.781,Ativo
FO0126,Químicos,0.645,Ativo
FO0127,MRO,0.968,Ativo
FO0128,Serviços,0.716,Ativo
FO0129,Logística,0.86,Ativo
FO0130,Embalagens,0.961,Ativo
FO0131,Logística,0.855,Ativo
FO0132,Químicos,0.873,Ativo
FO0133,MRO,0.781,Ativo
FO0134,Serviços,0.849,Homologação
FO0135,Logística,0.971,Ativo
FO0136,Logística,0.647,Ativo
FO0137,Logística,0.949,Ativo
FO0138,Embalagens,0.84,Ativo
FO0139,Embalagens,0.932,Ativo
FO0140,Embalagens,0.725,Ativo
FO0141,Serviços,0.914,Ativo
FO0142,Embalagens,0.675,Ativo
FO0143,Químicos,0.936,Ativo
FO0144,MRO,0.892,Ativo
FO0145,Embalagens,0.867,Ativo
FO0146,Logística,0.954,Homologação
FO0147,Logística,0.764,Ativo
FO0148,Embalagens,0.854,Ativo
FO0149,MRO,0.828,Ativo
FO0150,Serviços,0.733,Ativo
FO0151,Químicos,0.673,Homologação
FO0152,Químicos,0.926,Ativo
FO0153,Serviços,0.958,Ativo
FO0154,MRO,0.921,Ativo
FO0155,Embalagens,0.723,Ativo
FO0156,Serviços,0.941,Ativo
FO0157,Químicos,0.627,Bloqueado
FO0158,Serviços,0.732,Ativo
FO0159,Serviços,0.976,Ativo
FO0160,Embalagens,0.903,Ativo
FO0161,Químicos,0.732,Ativo
FO0162,Logística,0.931,Ativo
FO0163,Logística,0.699,Ativo
FO0164,MRO,0.944,Ativo
FO0165,MRO,0.66,Ativo
FO0166,Embalagens,0.622,Ativo
FO0167,MRO,0.817,Ativo
FO0168,Embalagens,0.886,Ativo
FO0169,Embalagens,0.623,Ativo
FO0170,Embalagens,0.602,Ativo
FO0171,Serviços,0.865,Ativo
FO0172,Logística,0.888,Ativo
FO0173,MRO,0.799,Ativo
FO0174,Embalagens,0.92,Ativo
FO0175,Logística,0.858,Ativo
FO0176,Químicos,0.608,Ativo
FO0177,Serviços,0.635,Ativo
FO0178,Químicos,0.787,Ativo
FO0179,Químicos,0.869,Ativo
FO0180,Serviços,0.889,Ativo
FO0181,Embalagens,0.941,Ativo
FO0182,Serviços,0.673,Bloqueado
FO0183,Serviços,0.737,Ativo
FO0184,Serviços,0.912,Ativo
FO0185,Químicos,0.867,Ativo
FO0186,Químicos,0.769,Ativo
FO0187,Embalagens,0.964,Ativo
FO0188,Logística,0.95,Ativo
FO0189,Serviços,0.605,Ativo
FO0190,Embalagens,0.673,Ativo
FO0191,MRO,0.655,Ativo
FO0192,Químicos,0.81,Ativo
FO0193,Químicos,0.639,Ativo
FO0194,Logística,0.625,Ativo
FO0195,Serviços,0.771,Ativo
FO0196,Embalagens,0.857,Homologação
FO0197,Embalagens,0.769,Ativo
FO0198,Embalagens,0.654,Ativo
FO0199,MRO,0.788,Ativo
FO0200,Serviços,0.957,Ativo
FO0201,Embalagens,0.919,Ativo
FO0202,MRO,0.684,Ativo
FO0203,Logística,0.909,Ativo
FO0204,Logística,0.746,Ativo
FO0205,MRO,0.811,Ativo
FO0206,Serviços,0.717,Ativo
FO0207,Embalagens,0.919,Ativo
FO0208,Logística,0.829,Ativo
FO0209,Logística,0.741,Homologação
FO0210,Serviços,0.947,Homologação
FO0211,Químicos,0.789,Ativo
FO0212,Químicos,0.859,Ativo
FO0213,Logística,0.609,Ativo
FO0214,Embalagens,0.724,Ativo
FO0215,Embalagens,0.696,Homologação
FO0216,Embalagens,0.648,Ativo
FO0217,Embalagens,0.883,Ativo
FO0218,Serviços,0.721,Ativo
FO0219,Químicos,0.932,Ativo
FO0220,Logística,0.816,Ativo
FO0221,Serviços,0.784,Ativo
FO0222,Embalagens,0.977,Ativo
FO0223,Embalagens,0.646,Ativo
FO0224,Embalagens,0.876,Ativo
FO0225,Serviços,0.702,Ativo
FO0226,Logística,0.662,Ativo
FO0227,Logística,0.976,Homologação
FO0228,Químicos,0.616,Ativo
FO0229,MRO,0.693,Ativo
FO0230,Serviços,0.898,Ativo
FO0231,Serviços,0.968,Homologação
FO0232,Químicos,0.95,Ativo
FO0233,MRO,0.704,Ativo
FO0234,Logística,0.707,Ativo
FO0235,Químicos,0.954,Ativo
FO0236,Logística,0.727,Ativo
FO0237,Logística,0.651,Homologação
FO0238,Químicos,0.66,Homologação
FO0239,Embalagens,0.877,Ativo
FO0240,Logística,0.744,Ativo
FO0241,Químicos,0.602,Ativo
FO0242,Logística,0.834,Ativo
FO0243,Químicos,0.855,Ativo
FO0244,Químicos,0.688,Ativo
FO0245,Embalagens,0.976,Ativo
FO0246,Logística,0.946,Ativo
FO0247,Químicos,0.885,Ativo
FO0248,Serviços,0.747,Ativo
FO0249,Químicos,0.765,Ativo
FO0250,Químicos,0.826,Ativo
FO0251,MRO,0.915,Ativo
FO0252,MRO,0.668,Ativo
FO0253,MRO,0.787,Ativo
FO0254,Embalagens,0.653,Ativo
FO0255,Embalagens,0.755,Ativo
FO0256,Serviços,0.771,Ativo
FO0257,Logística,0.892,Ativo
FO0258,Logística,0.618,Ativo
FO0259,Serviços,0.857,Ativo
FO0260,Logística,0.7,Ativo
FO0261,Embalagens,0.633,Ativo
FO0262,Serviços,0.966,Ativo
FO0263,Embalagens,0.785,Homologação
FO0264,Químicos,0.989,Homologação
FO0265,MRO,0.938,Ativo
FO0266,Químicos,0.765,Ativo
FO0267,Logística,0.938,Ativo
FO0268,Logística,0.692,Ativo
FO0269,MRO,0.961,Homologação
FO0270,Logística,0.911,Ativo
FO0271,Logística,0.689,Ativo
FO0272,MRO,0.98,Ativo
FO0273,Serviços,0.744,Ativo
FO0274,Embalagens,0.965,Ativo
FO0275,MRO,0.642,Ativo
FO0276,MRO,0.716,Ativo
FO0277,MRO,0.721,Ativo
FO0278,Serviços,0.722,Ativo
FO0279,Embalagens,0.892,Ativo
FO0280,Embalagens,0.784,Homologação
FO0281,MRO,0.625,Ativo
FO0282,Serviços,0.883,Ativo
FO0283,MRO,0.898,Ativo
FO0284,Embalagens,0.852,Ativo
FO0285,Serviços,0.756,Ativo
FO0286,Logística,0.615,Ativo
FO0287,Logística,0.744,Ativo
FO0288,MRO,0.938,Ativo
FO0289,Embalagens,0.671,Ativo
FO0290,Químicos,0.855,Ativo
FO0291,Serviços,0.624,Ativo
FO0292,Serviços,0.778,Ativo
FO0293,Embalagens,0.883,Ativo
FO0294,Embalagens,0.681,Ativo
FO0295,Serviços,0.903,Ativo
FO0296,Serviços,0.984,Ativo
FO0297,Químicos,0.726,Ativo
FO0298,Logística,0.76,Ativo
FO0299,MRO,0.862,Ativo
FO0300,Logística,0.982,Ativo
FO0301,Químicos,0.663,Ativo
FO0302,Químicos,0.653,Ativo
FO0303,Embalagens,0.982,Ativo
FO0304,Embalagens,0.627,Ativo
FO0305,Embalagens,0.79,Ativo
FO0306,Serviços,0.732,Ativo
FO0307,Embalagens,0.629,Ativo
FO0308,Embalagens,0.739,Homologação
FO0309,Embalagens,0.79,Homologação
FO0310,Serviços,0.638,Ativo
FO0311,Logística,0.956,Ativo
FO0312,Químicos,0.889,Ativo
FO0313,Químicos,0.847,Ativo
FO0314,MRO,0.656,Ativo
FO0315,Embalagens,0.973,Ativo
FO0316,Logística,0.821,Ativo
FO0317,MRO,0.705,Ativo
FO0318,Químicos,0.928,Ativo
FO0319,Serviços,0.861,Ativo
FO0320,Químicos,0.797,Ativo
