comprador_id,equipe,senioridade
CB001,Indiretos,Júnior
CB002,CAPEX,Pleno
CB003,CAPEX,Sênior
CB004,Serviços,Pleno
CB005,Serviços,Sênior
CB006,Indiretos,Júnior
CB007,Indiretos,Sênior
CB008,Indiretos,Pleno
CB009,Diretos,Sênior
CB010,CAPEX,Pleno
CB011,CAPEX,Sênior
CB012,Serviços,Júnior
CB013,Indiretos,Sênior
CB014,CAPEX,Pleno
CB015,Serviços,Sênior
CB016,Diretos,Sênior
CB017,Indiretos,Júnior
CB018,CAPEX,Sênior
CB019,CAPEX,Júnior
CB020,Serviços,Júnior
CB021,Indiretos,Pleno
CB022,CAPEX,Júnior
CB023,Indiretos,Pleno
CB024,CAPEX,Pleno
CB025,Indiretos,Júnior
CB026,Serviços,Sênior
CB027,Serviços,Júnior
CB028,Diretos,Júnior
CB029,Indiretos,Júnior
CB030,Diretos,Júnior
CB031,Diretos,Pleno
CB032,Diretos,Júnior
CB033,Diretos,Júnior
CB034,Indiretos,Sênior
CB035,Indiretos,Júnior
CB036,Diretos,Sênior
CB037,CAPEX,Júnior
CB038,Serviços,Júnior
CB039,Diretos,Sênior
CB040,Diretos,Pleno
