mensuracao_id,projeto_id,competencia,valor_realizado,saving_validado,status
MN00001,CS03123,2024-01-01,5613.29,163.21,Validado
MN00002,CS00874,2024-12-01,5250.42,1924.42,Pendente
MN00003,CS02778,2025-04-01,20055.69,1614.2,Validado
MN00004,CS02508,2026-06-01,6067.9,784.8,Validado
MN00005,CS03200,2026-07-01,3093.62,10160.24,Validado
MN00006,CS03160,2026-06-01,2256.91,463.89,Validado
MN00007,CS01334,2025-11-01,7595.14,146.5,Validado
MN00008,CS01837,2025-03-01,10268.2,273.87,Validado
MN00009,CS00155,2024-07-01,6381.54,176.68,Validado
MN00010,CS03255,2024-03-01,1916.4,1827.26,Validado
MN00011,CS01497,2025-07-01,265.09,342.68,Validado
MN00012,CS01536,2026-04-01,3855.56,2769.26,Validado
MN00013,CS00186,2025-11-01,1364.76,1326.31,Validado
MN00014,CS00456,2026-05-01,1144.02,477.26,Validado
MN00015,CS02266,2025-04-01,11964.57,2166.11,Validado
MN00016,CS00287,2026-01-01,4595.45,367.84,Validado
MN00017,CS01488,2024-11-01,3775.52,1559.62,Validado
MN00018,CS02897,2026-07-01,3727.59,642.68,Validado
MN00019,CS01604,2024-04-01,3095.99,2835.24,Pendente
MN00020,CS00433,2024-11-01,4986.31,502.14,Validado
MN00021,CS02822,2025-01-01,25431.92,1402.42,Validado
MN00022,CS01579,2024-07-01,13588.64,1232.99,Validado
MN00023,CS00638,2026-04-01,8033.2,1620.49,Rejeitado
MN00024,CS00189,2025-12-01,12531.71,749.96,Pendente
MN00025,CS00017,2024-09-01,4527.96,2175.84,Validado
MN00026,CS01599,2026-02-01,13309.3,1589.16,Validado
MN00027,CS01433,2024-08-01,1239.86,990.43,Validado
MN00028,CS01820,2025-02-01,3797.64,3737.97,Validado
MN00029,CS02708,2024-03-01,4141.4,449.67,Validado
MN00030,CS03457,2025-05-01,4696.3,798.36,Validado
MN00031,CS00196,2024-06-01,13451.57,387.24,Rejeitado
