pedido_id,fornecedor_id,comprador_id,data_pedido,valor,prazo_dias,entregue_no_prazo
PC00001,FO0091,CB015,2024-08-12,400.56,33,1
PC00002,FO0244,CB005,2024-02-23,2006.73,8,1
PC00003,FO0146,CB034,2024-04-14,10216.33,36,1
PC00004,FO0051,CB013,2024-03-08,475.4,21,1
PC00005,FO0243,CB033,2025-08-24,11151.93,17,0
PC00006,FO0135,CB036,2024-08-04,430.48,28,1
PC00007,FO0266,CB023,2025-03-03,9762.96,58,1
PC00008,FO0161,CB002,2025-11-25,5312.15,39,1
PC00009,FO0109,CB020,2026-07-05,1787.95,21,1
PC00010,FO0231,CB019,2025-11-17,7213.67,47,0
PC00011,FO0031,CB034,2024-05-21,2690.61,49,1
PC00012,FO0062,CB019,2024-07-14,8676.54,55,0
PC00013,FO0014,CB007,2025-02-01,1936.85,56,0
PC00014,FO0114,CB008,2025-04-10,1404.95,43,1
PC00015,FO0007,CB027,2026-04-22,4647.08,9,1
PC00016,FO0103,CB039,2025-09-13,7239.65,33,1
PC00017,FO0004,CB018,2025-06-18,2491.48,32,1
PC00018,FO0056,CB013,2025-06-07,3101.06,9,0
PC00019,FO0235,CB017,2025-09-06,2276.01,25,1
PC00020,FO0281,CB003,2026-03-29,2544.91,44,1
PC00021,FO0180,CB010,2024-03-11,1114.86,19,1
PC00022,FO0038,CB022,2024-07-24,6138.26,40,1
PC00023,FO0315,CB028,2024-06-04,2113.39,51,0
PC00024,FO0007,CB039,2025-06-11,1147.93,32,1
PC00025,FO0032,CB009,2025-01-24,5917.4,21,1
PC00026,FO0038,CB022,2025-05-07,3064.83,4,0
PC00027,FO0018,CB037,2026-02-23,810.53,27,0
PC00028,FO0088,CB012,2026-05-03,12899.31,8,1
PC00029,FO0135,CB019,2025-03-21,9187.9,31,1
PC00030,FO0176,CB039,2024-02-12,1479.8,59,0
PC00031,FO0292,CB031,2025-07-01,1272.72,55,1
PC00032,FO0285,CB011,2025-07-01,2057.8,10,1
PC00033,FO0124,CB013,2025-02-08,2640.29,9,1
PC00034,FO0191,CB017,2024-10-24,721.56,22,1
PC00035,FO0093,CB032,2024-11-01,1314.94,21,1
PC00036,FO0011,CB022,2025-05-12,4879.33,21,1
PC00037,FO0235,CB019,2024-09-28,6123.03,38,1
PC00038,FO0067,CB034,2024-12-31,816.46,6,1
PC00039,FO0157,CB009,2025-05-21,855.37,25,1
PC00040,FO0166,CB024,2026-07-06,6108.22,19,1
PC00041,FO0013,CB035,2025-08-28,2703.69,13,1
PC00042,FO0210,CB022,2025-09-05,3381.62,54,1
PC00043,FO0264,CB022,2024-06-12,5699.43,30,1
PC00044,FO0201,CB033,2026-07-19,1104.89,41,1
PC00045,FO0193,CB038,2024-03-27,9429.12,49,1
PC00046,FO0150,CB018,2025-12-30,5017.81,52,1
PC00047,FO0014,CB004,2026-04-26,414.58,51,0
PC00048,FO0191,CB007,2026-04-13,1149.01,55,1
PC00049,FO0314,CB012,2025-01-21,2693.97,35,1
PC00050,FO0277,CB023,2024-04-17,893.03,47,0
PC00051,FO0230,CB032,2025-05-03,1098.61,12,1
PC00052,FO0227,CB018,2026-01-24,9462.38,7,1
PC00053,FO0264,CB001,2026-05-17,1783.22,20,0
PC00054,FO0005,CB016,2025-07-15,2189.01,44,1
PC00055,FO0289,CB030,2024-02-09,3703.9,6,0
PC00056,FO0033,CB034,2025-07-30,4466.52,8,1
PC00057,FO0159,CB010,2026-03-04,21581.61,10,1
PC00058,FO0049,CB032,2025-05-31,586.55,20,1
PC00059,FO0238,CB016,2024-07-30,954.51,22,1
PC00060,FO0260,CB038,2026-07-24,3686.94,7,1
PC00061,FO0284,CB032,2025-04-10,5431.12,41,1
PC00062,FO0050,CB004,2024-05-03,265.21,41,1
PC00063,FO0041,CB036,2025-04-29,108.3,38,1
PC00064,FO0012,CB014,2026-01-30,2082.65,54,0
PC00065,FO0103,CB014,2024-06-16,1123.9,17,1
PC00066,FO0268,CB023,2026-05-04,743.57,51,1
PC00067,FO0264,CB002,2024-10-07,4259.01,50,0
PC00068,FO0136,CB026,2024-11-20,4521.83,46,1
PC00069,FO0129,CB038,2024-02-15,2966.71,13,1
PC00070,FO0193,CB025,2025-04-16,1779.18,11,0
PC00071,FO0052,CB023,2026-04-28,3080.7,47,1
PC00072,FO0164,CB011,2025-08-02,1268.21,11,1
PC00073,FO0125,CB010,2024-11-26,373.02,46,1
PC00074,FO0193,CB008,2025-07-27,8435.15,19,1
PC00075,FO0285,CB040,2025-05-05,4016.68,19,1
PC00076,FO0250,CB004,2025-11-04,536.02,55,1
PC00077,FO0113,CB024,2024-01-05,5056.33,48,1
PC00078,FO0107,CB030,2025-02-28,1842.4,42,1
PC00079,FO0236,CB016,2025-04-24,517.44,7,0
PC00080,FO0168,CB010,2024-03-17,19360.49,22,0
PC00081,FO0156,CB026,2024-03-30,2025.14,42,0
PC00082,FO0250,CB021,2026-04-28,529.09,58,1
PC00083,FO0023,CB014,2025-01-03,1099.11,53,1
PC00084,FO0261,CB004,2025-03-26,454.51,2,0
PC00085,FO0159,CB033,2024-07-06,5017.88,44,1
PC00086,FO0303,CB028,2026-03-27,627.55,36,1
PC00087,FO0012,CB002,2026-06-22,4412.11,5,1
PC00088,FO0209,CB011,2025-08-21,10549.93,12,1
PC00089,FO0105,CB010,2024-01-07,1516.64,43,0
PC00090,FO0175,CB017,2025-12-05,6191.77,30,1
PC00091,FO0112,CB024,2024-06-02,3973.67,51,1
PC00092,FO0117,CB001,2025-07-02,9155.41,36,1
PC00093,FO0266,CB002,2025-11-07,367.47,18,0
PC00094,FO0176,CB018,2025-06-07,13389.57,58,1
PC00095,FO0262,CB003,2025-02-15,591.37,28,1
PC00096,FO0003,CB019,2026-05-13,1916.13,23,0
PC00097,FO0312,CB030,2024-09-07,651.7,42,1
PC00098,FO0140,CB009,2025-08-19,4657.38,2,1
PC00099,FO0038,CB003,2026-05-20,430.14,57,1
PC00100,FO0133,CB019,2025-04-06,2414.1,41,1
PC00101,FO0128,CB012,2024-03-12,2170.42,18,1
PC00102,FO0076,CB009,2026-03-21,2664.96,12,1
PC00103,FO0300,CB024,2026-03-28,3600.83,24,1
PC00104,FO0194,CB037,2025-12-11,6643.54,12,1
PC00105,FO0112,CB023,2025-08-18,2658.7,55,1
PC00106,FO0077,CB028,2026-05-10,274.83,3,1
PC00107,FO0034,CB024,2025-03-19,3548.07,11,1
PC00108,FO0148,CB008,2026-03-04,7040.39,47,0
PC00109,FO0229,CB027,2025-08-21,2615.0,7,1
PC00110,FO0196,CB037,2024-04-24,1273.44,4,1
PC00111,FO0125,CB023,2025-12-13,3211.79,54,0
PC00112,FO0001,CB013,2024-12-02,2420.24,58,1
PC00113,FO0062,CB019,2025-04-11,585.87,55,1
PC00114,FO0115,CB002,2024-05-14,2444.5,50,1
PC00115,FO0231,CB020,2025-11-16,13405.6,47,1
PC00116,FO0180,CB038,2025-06-27,4793.12,55,1
PC00117,FO0206,CB036,2026-06-16,17738.16,7,1
PC00118,FO0028,CB039,2025-07-27,5031.88,34,1
PC00119,FO0065,CB037,2025-03-17,3002.26,27,0
PC00120,FO0062,CB004,2025-06-13,3573.26,37,1
PC00121,FO0163,CB038,2024-07-11,2576.99,34,0
PC00122,FO0299,CB012,2024-07-11,714.0,18,1
PC00123,FO0085,CB019,2024-12-26,1120.9,5,1
PC00124,FO0263,CB035,2024-11-19,9658.9,17,1
PC00125,FO0220,CB003,2024-02-17,2573.47,58,1
PC00126,FO0120,CB013,2024-07-21,2269.18,37,1
PC00127,FO0298,CB030,2025-05-27,750.17,39,1
PC00128,FO0020,CB030,2024-10-21,607.89,11,1
PC00129,FO0027,CB032,2025-07-18,4015.61,59,1
PC00130,FO0274,CB039,2025-05-21,6118.22,29,1
PC00131,FO0183,CB003,2025-04-06,2062.49,29,1
PC00132,FO0040,CB024,2024-05-31,3581.21,32,1
PC00133,FO0077,CB037,2025-09-12,1877.35,17,0
PC00134,FO0236,CB030,2026-01-05,1006.86,17,0
PC00135,FO0093,CB014,2024-12-18,2118.54,58,1
PC00136,FO0265,CB021,2025-04-08,3895.2,44,1
PC00137,FO0208,CB029,2025-06-03,906.0,44,1
PC00138,FO0226,CB007,2025-12-01,429.12,20,1
PC00139,FO0167,CB006,2024-11-26,7183.17,57,1
PC00140,FO0194,CB006,2025-11-29,1583.88,43,1
PC00141,FO0237,CB007,2024-12-13,1333.96,17,1
PC00142,FO0078,CB040,2025-05-15,8238.8,10,1
PC00143,FO0059,CB023,2025-05-09,382.3,59,1
PC00144,FO0227,CB037,2025-02-28,569.49,36,1
PC00145,FO0276,CB032,2025-09-12,5159.64,24,1
PC00146,FO0160,CB012,2025-12-01,9515.32,55,0
PC00147,FO0240,CB007,2024-07-21,1687.15,44,0
PC00148,FO0052,CB015,2025-04-20,739.67,53,1
PC00149,FO0272,CB037,2026-05-07,4376.66,34,1
PC00150,FO0126,CB003,2024-05-01,6125.79,43,1
PC00151,FO0212,CB004,2024-10-12,9012.22,53,1
PC00152,FO0063,CB018,2024-10-09,289.4,15,1
PC00153,FO0219,CB024,2024-06-03,604.85,29,1
PC00154,FO0013,CB036,2026-03-31,1677.5,19,1
PC00155,FO0009,CB027,2024-07-26,15826.55,19,1
PC00156,FO0160,CB037,2025-09-11,2635.36,36,1
PC00157,FO0079,CB037,2026-06-03,2834.78,19,1
PC00158,FO0306,CB004,2024-05-27,333.43,46,1
PC00159,FO0259,CB038,2025-12-20,1376.36,35,1
PC00160,FO0247,CB036,2024-04-16,11121.99,25,1
PC00161,FO0133,CB033,2026-02-28,874.61,33,1
PC00162,FO0061,CB019,2024-10-07,2325.93,11,1
PC00163,FO0138,CB027,2024-04-22,4622.55,53,1
PC00164,FO0252,CB009,2025-09-27,2524.99,59,1
PC00165,FO0209,CB015,2024-10-26,1322.56,49,0
PC00166,FO0185,CB022,2025-02-08,14326.65,9,0
PC00167,FO0047,CB034,2024-06-26,1532.86,19,1
PC00168,FO0151,CB029,2025-04-05,1281.94,43,1
