tabela,campo,tipo
compradores,comprador_id,object
compradores,equipe,object
compradores,senioridade,object
fornecedores,fornecedor_id,object
fornecedores,categoria,object
fornecedores,score,float64
fornecedores,status,object
projetos_saving,projeto_id,object
projetos_saving,comprador_id,object
projetos_saving,fornecedor_id,object
projetos_saving,data_abertura,datetime64[ns]
projetos_saving,categoria,object
projetos_saving,baseline,float64
projetos_saving,meta_saving_pct,float64
projetos_saving,status,object
mensuracoes,mensuracao_id,object
mensuracoes,projeto_id,object
mensuracoes,competencia,datetime64[ns]
mensuracoes,valor_realizado,float64
mensuracoes,saving_validado,float64
mensuracoes,status,object
pedidos_compra,pedido_id,object
pedidos_compra,fornecedor_id,object
pedidos_compra,comprador_id,object
pedidos_compra,data_pedido,datetime64[ns]
pedidos_compra,valor,float64
pedidos_compra,prazo_dias,int64
pedidos_compra,entregue_no_prazo,int64
