acao_id;inspecao_id;responsavel_id;prazo;status;custo
AO00001;  IS06329  ;P01185;2025-07-19 00:00:00;Concluída;2293,13
AO00002;  IS05171  ;P00414;2025-06-01 00:00:00;Concluída;5544,99
AO00003;  IS08836  ;P00141;2025-06-11 00:00:00;Concluída;4246,94
AO00004;  IS04970  ;P00775;2026-07-17 00:00:00;Concluída;8195,0
AO00005;IS01189;P00397;2024-02-29 00:00:00;Atrasada;12191,15
AO00006;IS07409;P00831;2025-06-17 00:00:00;Em execução;11185,23
AO00007;IS01957;P00328;2025-07-09 00:00:00;Concluída;13920,97
AO00008;IS07042;P00823;2025-05-20 00:00:00;Atrasada;9698,2
AO00009;IS07321;P00627;2025-12-12 00:00:00;Concluída;7173,94
AO00010;IS05841;P01301;2024-09-11 00:00:00;Atrasada;13492,92
AO00011;IS09871;P00593;2026-07-25 00:00:00;Atrasada;984,31
AO00012;IS07367;P00590;2024-04-15 00:00:00;Concluída;14299,93
AO00013;IS08680;P00992;2025-01-31 00:00:00;Concluída;11008,6
AO00014;IS03881;P00294;2025-11-26 00:00:00;Concluída;4882,05
AO00015;IS01956;P00586;2024-06-30 00:00:00;Concluída;4877,07
AO00016;IS01488;P00719;2025-10-14 00:00:00;Concluída;12236,36
AO00017;IS10167;P00335;2024-06-08 00:00:00;Concluída;4922,23
AO00018;IS00047;P01129;2024-08-25 00:00:00;Concluída;14721,38
AO00019;IS04151;P00452;2026-06-09 00:00:00;Atrasada;17961,77
AO00020;IS01948;P00233;2026-07-15 00:00:00;Concluída;3298,41
AO00021;IS02859;P01366;2024-11-01 00:00:00;Atrasada;7293,13
AO00022;IS07818;P00202;2025-04-16 00:00:00;Concluída;16543,78
AO00023;IS02057;P00695;2024-02-18 00:00:00;Concluída;844,29
AO00024;IS00808;P01227;2024-02-15 00:00:00;Concluída;4662,12
AO00025;IS01693;P00899;2024-06-26 00:00:00;Atrasada;10063,55
AO00026;IS04823;P01440;2024-11-24 00:00:00;Concluída;17748,76
AO00027;IS03448;P01001;2026-06-30 00:00:00;Concluída;14931,44
AO00028;IS01113;P00639;2025-01-05 00:00:00;Concluída;6544,79
AO00029;IS08459;P00416;2024-11-06 00:00:00;Em execução;5941,33
AO00030;IS07096;P00051;2026-03-21 00:00:00;Concluída;9595,46
AO00031;IS04069;P00401;2025-04-28 00:00:00;Concluída;9636,21
AO00032;IS05111;P00334;2026-02-13 00:00:00;Atrasada;8890,81
AO00033;IS04407;P00123;2026-05-21 00:00:00;Concluída;982,33
AO00034;IS05699;P00660;2026-02-07 00:00:00;Atrasada;16415,95
AO00035;IS02266;P01287;2025-12-16 00:00:00;Atrasada;13483,22
AO00036;IS04849;P00840;2025-12-21 00:00:00;Concluída;9605,27
AO00037;IS10112;P01173;2024-02-25 00:00:00;Concluída;10920,77
AO00038;IS04099;P00396;2025-01-04 00:00:00;Concluída;16777,1
AO00039;IS07738;P00351;2024-10-29 00:00:00;Concluída;39,4
AO00040;IS04663;P00672;2025-01-08 00:00:00;Concluída;2659,78
AO00041;IS05906;P01110;2026-04-09 00:00:00;Concluída;1118,11
AO00042;IS02670;P01195;2025-05-31 00:00:00;Atrasada;1507,74
AO00043;IS02344;P00848;2025-04-19 00:00:00;Concluída;2276,43
