ativo_id;tipo;unidade;criticidade
AT0001;  Misturador  ;Joinville;Baixa
AT0002;  Painel elétrico  ;Guarulhos;Alta
AT0003;  Prensa  ;Jaboticabal;Alta
AT0004;  Misturador  ;Guarulhos;Alta
AT0005;Misturador;Joinville;Baixa
AT0006;Prensa;Joinville;Baixa
AT0007;Painel elétrico;Jaboticabal;Alta
AT0008;Prensa;Guarulhos;Média
AT0009;Prensa;Guarulhos;Baixa
AT0010;Prensa;Guarulhos;Alta
AT0011;Prensa;Joinville;Alta
AT0012;Misturador;Guarulhos;Média
AT0013;Esteira;Joinville;Alta
AT0014;Injetora;Guarulhos;Baixa
AT0015;Painel elétrico;Joinville;Alta
AT0016;Esteira;Joinville;Baixa
AT0017;Misturador;Guarulhos;Baixa
AT0018;Esteira;Joinville;Alta
AT0019;Misturador;Jaboticabal;Média
AT0020;Prensa;Jaboticabal;Baixa
AT0021;Painel elétrico;Guarulhos;Alta
AT0022;Injetora;Jaboticabal;Média
AT0023;Painel elétrico;Joinville;Alta
AT0024;Misturador;Jaboticabal;Alta
AT0025;Painel elétrico;Jaboticabal;Alta
AT0026;Painel elétrico;Joinville;Alta
AT0027;Misturador;Guarulhos;Média
AT0028;Injetora;Guarulhos;Alta
AT0029;Esteira;Joinville;Baixa
AT0030;Painel elétrico;Jaboticabal;Média
AT0031;Misturador;Guarulhos;Média
AT0032;Prensa;Guarulhos;Alta
AT0033;Prensa;Jaboticabal;Alta
AT0034;Painel elétrico;Joinville;Alta
AT0035;Prensa;Joinville;Média
AT0036;Painel elétrico;Joinville;Alta
AT0037;Painel elétrico;Guarulhos;Baixa
AT0038;Prensa;Guarulhos;Média
AT0039;Esteira;Guarulhos;Média
AT0040;Misturador;Guarulhos;Alta
AT0041;Painel elétrico;Joinville;Alta
AT0042;Misturador;Joinville;Baixa
AT0043;Misturador;Jaboticabal;Média
AT0044;Esteira;Guarulhos;Alta
AT0045;Painel elétrico;Guarulhos;Média
AT0046;Painel elétrico;Guarulhos;Alta
AT0047;Painel elétrico;Jaboticabal;Alta
AT0048;Esteira;Joinville;Baixa
AT0049;Misturador;Jaboticabal;Alta
AT0050;Injetora;Jaboticabal;Alta
AT0051;Prensa;Guarulhos;Alta
AT0052;Injetora;Joinville;Alta
AT0053;Misturador;Joinville;Alta
AT0054;Misturador;Joinville;Média
AT0055;Esteira;Joinville;Baixa
AT0056;Esteira;Joinville;Alta
AT0057;Injetora;Joinville;Baixa
AT0058;Painel elétrico;Joinville;Média
AT0059;Esteira;Jaboticabal;Baixa
AT0060;Prensa;Guarulhos;Alta
AT0061;Misturador;Jaboticabal;Média
AT0062;Misturador;Joinville;Alta
AT0063;Misturador;Jaboticabal;Média
AT0064;Painel elétrico;Guarulhos;Baixa
AT0065;Esteira;Jaboticabal;Alta
AT0066;Esteira;Jaboticabal;Média
AT0067;Injetora;Guarulhos;Alta
AT0068;Painel elétrico;Jaboticabal;Baixa
AT0069;Injetora;Joinville;Baixa
AT0070;Prensa;Jaboticabal;Média
AT0071;Misturador;Jaboticabal;Média
AT0072;Misturador;Guarulhos;Média
AT0073;Prensa;Joinville;Baixa
AT0074;Esteira;Joinville;Média
AT0075;Injetora;Jaboticabal;Alta
AT0076;Misturador;Guarulhos;Baixa
AT0077;Injetora;Joinville;Alta
AT0078;Esteira;Guarulhos;Baixa
AT0079;Prensa;Joinville;Média
AT0080;Misturador;Jaboticabal;Média
AT0081;Esteira;Guarulhos;Média
AT0082;Prensa;Guarulhos;Alta
AT0083;Esteira;Jaboticabal;Baixa
AT0084;Misturador;Joinville;Baixa
AT0085;Misturador;Joinville;Alta
AT0086;Prensa;Guarulhos;Média
AT0087;Esteira;Jaboticabal;Alta
AT0088;Prensa;Guarulhos;Alta
AT0089;Prensa;Jaboticabal;Alta
AT0090;Injetora;Jaboticabal;Alta
AT0091;Injetora;Joinville;Alta
AT0092;Esteira;Jaboticabal;Média
AT0093;Misturador;Jaboticabal;Média
AT0094;Injetora;Jaboticabal;Média
AT0095;Esteira;Jaboticabal;Baixa
AT0096;Painel elétrico;Joinville;Alta
AT0097;Prensa;Joinville;Média
AT0098;Misturador;Guarulhos;Média
AT0099;Painel elétrico;Joinville;Média
AT0100;Misturador;Joinville;Alta
AT0101;Injetora;Guarulhos;Alta
AT0102;Painel elétrico;Joinville;Média
AT0103;Injetora;Joinville;Média
AT0104;Injetora;Joinville;Média
AT0105;Painel elétrico;Joinville;Baixa
AT0106;Injetora;Jaboticabal;Baixa
AT0107;Prensa;Guarulhos;Baixa
AT0108;Painel elétrico;Guarulhos;Baixa
AT0109;Prensa;Joinville;Alta
AT0110;Esteira;Joinville;Baixa
AT0111;Misturador;Joinville;Alta
AT0112;Esteira;Joinville;Média
AT0113;Injetora;Joinville;Baixa
AT0114;Esteira;Jaboticabal;Baixa
AT0115;Painel elétrico;Joinville;Alta
AT0116;Prensa;Joinville;Média
AT0117;Misturador;Joinville;Média
AT0118;Injetora;Joinville;Baixa
AT0119;Painel elétrico;Guarulhos;Baixa
AT0120;Misturador;Guarulhos;Alta
AT0121;Prensa;Jaboticabal;Baixa
AT0122;Painel elétrico;Jaboticabal;Baixa
