loto_id;ativo_id;pessoa_id;cadeado_id;data_inicio;data_fim;motivo;status
LO00001;  AT0330  ;P01377;CD0159;2024-02-20 00:00:00;2026-04-30;Inspeção;Cancelado
LO00002;  AT0071  ;P00204;CD0020;2024-07-30 00:00:00;2025-11-18;Limpeza;Concluído
LO00003;  AT0056  ;P00744;CD0470;2026-06-17 00:00:00;2026-05-17;Manutenção;Concluído
LO00004;  AT0255  ;P00054;CD0056;2025-09-05 00:00:00;2024-04-03;Inspeção;Concluído
LO00005;AT0365;P01100;CD0429;2025-06-01 00:00:00;2026-02-27;Limpeza;Concluído
LO00006;AT0130;P01120;CD0495;2024-10-12 00:00:00;2025-12-17;Inspeção;Concluído
LO00007;AT0346;P00776;CD0018;2025-09-26 00:00:00;2024-10-16;Inspeção;Concluído
LO00008;AT0043;P00760;CD0818;2024-09-13 00:00:00;2026-04-03;Inspeção;Concluído
LO00009;AT0227;P00837;CD0421;2025-11-12 00:00:00;2026-02-12;Manutenção;Concluído
LO00010;AT0035;P00194;CD0644;2024-10-16 00:00:00;2025-12-07;Limpeza;Concluído
LO00011;AT0145;P00689;CD0297;2025-07-08 00:00:00;2025-10-05;Inspeção;Ativo
LO00012;AT0117;P01151;CD0395;2024-04-12 00:00:00;2025-09-09;Setup;Concluído
LO00013;AT0053;P01004;CD0828;2024-09-11 00:00:00;2026-01-16;Inspeção;Ativo
LO00014;AT0282;P01137;CD0647;2025-02-21 00:00:00;2024-07-04;Limpeza;Concluído
LO00015;AT0045;P00843;CD0147;2024-12-27 00:00:00;2024-07-12;Inspeção;Ativo
LO00016;AT0107;P00186;CD0030;2024-05-15 00:00:00;2025-03-09;Manutenção;Concluído
LO00017;AT0323;P00171;CD0582;2026-06-27 00:00:00;2025-04-06;Manutenção;Concluído
LO00018;AT0416;P00361;CD0652;2024-04-16 00:00:00;2026-07-02;Setup;Cancelado
LO00019;AT0212;P01397;CD0524;2025-03-15 00:00:00;2024-01-05;Inspeção;Concluído
LO00020;AT0338;P00970;CD0830;2025-02-12 00:00:00;2025-02-02;Setup;Concluído
LO00021;AT0035;P01051;CD0731;2025-07-03 00:00:00;2024-01-27;Inspeção;Concluído
LO00022;AT0078;P01087;CD0819;2026-02-22 00:00:00;2025-08-25;Manutenção;Concluído
LO00023;AT0095;P00615;CD0822;2026-01-16 00:00:00;2024-05-31;Limpeza;Concluído
LO00024;AT0336;P00239;CD0781;2024-05-29 00:00:00;2026-04-02;Setup;Concluído
LO00025;AT0297;P00644;CD0463;2024-09-26 00:00:00;2025-12-14;Inspeção;Cancelado
LO00026;AT0365;P00095;CD0707;2026-06-01 00:00:00;2025-03-14;Setup;Concluído
LO00027;AT0373;P00235;CD0799;2025-10-02 00:00:00;2026-06-12;Manutenção;Concluído
LO00028;AT0054;P00952;CD0692;2024-01-16 00:00:00;2024-07-27;Inspeção;Concluído
LO00029;AT0089;P00162;CD0649;2024-11-10 00:00:00;2024-12-19;Limpeza;Concluído
LO00030;AT0198;P01241;CD0308;2024-09-18 00:00:00;2025-03-31;Setup;Concluído
LO00031;AT0152;P00019;CD0199;2025-05-05 00:00:00;2025-11-13;Manutenção;Concluído
LO00032;AT0325;P01437;CD0637;2026-07-06 00:00:00;2024-09-29;Manutenção;Concluído
LO00033;AT0098;P00381;CD0099;2025-09-07 00:00:00;2024-01-30;Setup;Ativo
LO00034;AT0348;P01463;CD0511;2025-04-11 00:00:00;2025-12-25;Setup;Concluído
LO00035;AT0219;P00719;CD0401;2026-02-18 00:00:00;2025-03-05;Setup;Concluído
LO00036;AT0107;P01287;CD0157;2025-12-23 00:00:00;2024-03-13;Manutenção;Concluído
LO00037;AT0220;P00145;CD0340;2026-06-30 00:00:00;2026-04-19;Setup;Concluído
