cadeado_id;pessoa_id;cor;status
CD0001;  P00251  ;Vermelho;Em uso
CD0002;  P00568  ;Azul;Disponível
CD0003;  P00049  ;Azul;Disponível
CD0004;  P00060  ;Amarelo;Disponível
CD0005;P00153;Amarelo;Bloqueado
CD0006;P00999;Vermelho;Disponível
CD0007;P00087;Vermelho;Disponível
CD0008;P00842;Vermelho;Disponível
CD0009;P00127;Verde;Disponível
CD0010;P00940;Vermelho;Em uso
CD0011;P00181;Amarelo;Disponível
CD0012;P00730;Amarelo;Em uso
CD0013;P00137;Azul;Em uso
CD0014;P00296;Amarelo;Em uso
CD0015;P00946;Vermelho;Em uso
CD0016;P00860;Amarelo;Disponível
CD0017;P00903;Azul;Em uso
CD0018;P00402;Verde;Disponível
CD0019;P01160;Vermelho;Bloqueado
CD0020;P00924;Verde;Em uso
CD0021;P00072;Azul;Em uso
CD0022;P01433;Azul;Bloqueado
CD0023;P00604;Amarelo;Em uso
CD0024;P01322;Azul;Em uso
CD0025;P01072;Azul;Disponível
CD0026;P00877;Verde;Em uso
CD0027;P00592;Amarelo;Em uso
CD0028;P00941;Azul;Em uso
CD0029;P01285;Verde;Em uso
CD0030;P00610;Vermelho;Disponível
CD0031;P00223;Azul;Disponível
CD0032;P00148;Verde;Disponível
CD0033;P01221;Verde;Bloqueado
CD0034;P01321;Vermelho;Disponível
CD0035;P00334;Vermelho;Em uso
CD0036;P01026;Verde;Disponível
CD0037;P00572;Azul;Bloqueado
CD0038;P00397;Amarelo;Bloqueado
CD0039;P00640;Amarelo;Disponível
CD0040;P00614;Azul;Disponível
CD0041;P01267;Amarelo;Bloqueado
CD0042;P01307;Vermelho;Disponível
CD0043;P00383;Verde;Disponível
CD0044;P00150;Verde;Bloqueado
CD0045;P00640;Verde;Bloqueado
CD0046;P01428;Amarelo;Bloqueado
CD0047;P01224;Azul;Bloqueado
CD0048;P00531;Verde;Disponível
CD0049;P01350;Azul;Disponível
CD0050;P01418;Amarelo;Bloqueado
CD0051;P00998;Vermelho;Em uso
CD0052;P00846;Vermelho;Bloqueado
CD0053;P01218;Verde;Disponível
CD0054;P00431;Vermelho;Bloqueado
CD0055;P00547;Verde;Disponível
CD0056;P00207;Vermelho;Em uso
CD0057;P00610;Azul;Disponível
CD0058;P01058;Verde;Em uso
CD0059;P01080;Vermelho;Bloqueado
CD0060;P00962;Amarelo;Bloqueado
CD0061;P01462;Vermelho;Em uso
CD0062;P00801;Azul;Disponível
CD0063;P00927;Amarelo;Em uso
CD0064;P01199;Verde;Disponível
CD0065;P00164;Azul;Bloqueado
CD0066;P00063;Vermelho;Disponível
CD0067;P00563;Amarelo;Em uso
CD0068;P00896;Azul;Em uso
CD0069;P00029;Amarelo;Em uso
CD0070;P00462;Verde;Disponível
CD0071;P00464;Amarelo;Bloqueado
CD0072;P00184;Azul;Bloqueado
CD0073;P00701;Verde;Bloqueado
CD0074;P00534;Azul;Bloqueado
CD0075;P00199;Verde;Bloqueado
CD0076;P01444;Vermelho;Disponível
CD0077;P00923;Amarelo;Bloqueado
CD0078;P00653;Vermelho;Bloqueado
CD0079;P00770;Verde;Em uso
CD0080;P01311;Amarelo;Disponível
CD0081;P01102;Amarelo;Em uso
CD0082;P00313;Amarelo;Bloqueado
