pessoa_id,unidade,area,status
P00001,Camaçari,Compras,Ativo
P00002,Joinville,RH,Ativo
P00003,Joinville,TI,Ativo
P00004,Joinville,Compras,Ativo
P00005,Guarulhos,Produção,Ativo
P00006,Guarulhos,Logística,Ativo
P00007,Joinville,Logística,Ativo
P00008,Joinville,Engenharia,Ativo
P00009,Guarulhos,Produção,Ativo
P00010,Jaboticabal,RH,Ativo
P00011,Camaçari,Qualidade,Ativo
P00012,Guarulhos,Compras,Ativo
P00013,Camaçari,Produção,Ativo
P00014,Jaboticabal,Logística,Ativo
P00015,Camaçari,Logística,Ativo
P00016,Camaçari,Logística,Ativo
P00017,Jaboticabal,Engenharia,Ativo
P00018,Camaçari,Qualidade,Ativo
P00019,Jaboticabal,Qualidade,Ativo
P00020,Joinville,TI,Ativo
P00021,Jaboticabal,Compras,Ativo
P00022,Jaboticabal,Logística,Ativo
P00023,Joinville,Engenharia,Ativo
P00024,Jaboticabal,Compras,Ativo
P00025,Joinville,TI,Ativo
P00026,Guarulhos,TI,Ativo
P00027,Joinville,Logística,Ativo
P00028,Jaboticabal,TI,Ativo
P00029,Guarulhos,Produção,Ativo
P00030,Joinville,Compras,Ativo
P00031,Jaboticabal,Qualidade,Ativo
P00032,Joinville,Compras,Ativo
P00033,Jaboticabal,Compras,Ativo
P00034,Joinville,RH,Ativo
P00035,Camaçari,Engenharia,Ativo
P00036,Camaçari,Compras,Ativo
P00037,Jaboticabal,Produção,Ativo
P00038,Guarulhos,Logística,Ativo
P00039,Jaboticabal,TI,Ativo
P00040,Joinville,Logística,Ativo
P00041,Guarulhos,TI,Ativo
P00042,Joinville,Qualidade,Ativo
P00043,Guarulhos,Logística,Ativo
P00044,Jaboticabal,Engenharia,Ativo
P00045,Camaçari,Produção,Ativo
P00046,Camaçari,TI,Ativo
P00047,Jaboticabal,TI,Ativo
P00048,Jaboticabal,RH,Ativo
P00049,Jaboticabal,Compras,Ativo
P00050,Guarulhos,Compras,Ativo
P00051,Joinville,Qualidade,Ativo
P00052,Joinville,Qualidade,Ativo
P00053,Jaboticabal,RH,Ativo
P00054,Camaçari,Logística,Ativo
P00055,Camaçari,Engenharia,Ativo
P00056,Jaboticabal,Compras,Ativo
P00057,Joinville,RH,Ativo
P00058,Guarulhos,Engenharia,Ativo
P00059,Guarulhos,Produção,Ativo
P00060,Jaboticabal,RH,Ativo
P00061,Jaboticabal,Qualidade,Ativo
P00062,Camaçari,Produção,Ativo
P00063,Jaboticabal,Logística,Inativo
P00064,Guarulhos,Qualidade,Ativo
P00065,Camaçari,Engenharia,Ativo
P00066,Jaboticabal,Engenharia,Ativo
P00067,Guarulhos,Logística,Ativo
P00068,Guarulhos,TI,Ativo
P00069,Jaboticabal,Logística,Ativo
P00070,Camaçari,Produção,Ativo
P00071,Joinville,TI,Ativo
P00072,Guarulhos,Qualidade,Ativo
P00073,Jaboticabal,Engenharia,Ativo
P00074,Camaçari,Compras,Ativo
P00075,Jaboticabal,Produção,Ativo
P00076,Camaçari,TI,Inativo
P00077,Jaboticabal,Logística,Ativo
P00078,Jaboticabal,Compras,Ativo
P00079,Joinville,Produção,Ativo
P00080,Joinville,Engenharia,Inativo
P00081,Guarulhos,Qualidade,Ativo
P00082,Guarulhos,Logística,Ativo
P00083,Guarulhos,TI,Ativo
P00084,Camaçari,RH,Ativo
P00085,Camaçari,TI,Ativo
P00086,Jaboticabal,Produção,Ativo
P00087,Camaçari,Qualidade,Ativo
P00088,Jaboticabal,Engenharia,Ativo
P00089,Joinville,Qualidade,Inativo
P00090,Guarulhos,Engenharia,Ativo
P00091,Camaçari,Engenharia,Ativo
P00092,Jaboticabal,Produção,Ativo
P00093,Joinville,Engenharia,Ativo
P00094,Guarulhos,Engenharia,Ativo
P00095,Guarulhos,RH,Ativo
P00096,Camaçari,TI,Ativo
P00097,Jaboticabal,Compras,Ativo
P00098,Camaçari,Logística,Ativo
P00099,Jaboticabal,Qualidade,Ativo
P00100,Jaboticabal,Produção,Ativo
P00101,Joinville,TI,Ativo
P00102,Joinville,Logística,Ativo
P00103,Camaçari,Logística,Ativo
P00104,Joinville,RH,Ativo
P00105,Camaçari,Logística,Ativo
P00106,Joinville,Engenharia,Inativo
P00107,Jaboticabal,Compras,Ativo
P00108,Jaboticabal,Engenharia,Ativo
P00109,Jaboticabal,Logística,Ativo
P00110,Guarulhos,Compras,Ativo
P00111,Jaboticabal,RH,Ativo
P00112,Jaboticabal,RH,Ativo
P00113,Jaboticabal,TI,Ativo
P00114,Guarulhos,Logística,Ativo
P00115,Joinville,RH,Ativo
P00116,Joinville,TI,Ativo
P00117,Joinville,RH,Ativo
P00118,Jaboticabal,RH,Ativo
P00119,Joinville,Compras,Ativo
P00120,Camaçari,Logística,Ativo
P00121,Guarulhos,RH,Ativo
P00122,Joinville,Logística,Ativo
P00123,Camaçari,Engenharia,Ativo
P00124,Camaçari,Engenharia,Ativo
P00125,Guarulhos,Engenharia,Ativo
P00126,Guarulhos,RH,Ativo
P00127,Camaçari,Qualidade,Inativo
P00128,Guarulhos,Qualidade,Ativo
P00129,Jaboticabal,RH,Ativo
P00130,Joinville,RH,Ativo
P00131,Jaboticabal,RH,Ativo
P00132,Jaboticabal,RH,Ativo
P00133,Camaçari,RH,Ativo
P00134,Guarulhos,TI,Ativo
P00135,Jaboticabal,Logística,Inativo
P00136,Joinville,TI,Ativo
P00137,Joinville,Engenharia,Ativo
P00138,Guarulhos,TI,Ativo
P00139,Camaçari,RH,Ativo
P00140,Jaboticabal,TI,Inativo
P00141,Camaçari,Produção,Ativo
P00142,Guarulhos,Engenharia,Ativo
P00143,Camaçari,Engenharia,Ativo
P00144,Camaçari,TI,Ativo
P00145,Jaboticabal,RH,Ativo
P00146,Camaçari,TI,Ativo
P00147,Guarulhos,TI,Ativo
P00148,Camaçari,Qualidade,Ativo
P00149,Camaçari,Engenharia,Ativo
P00150,Camaçari,TI,Ativo
P00151,Joinville,Produção,Ativo
P00152,Joinville,Logística,Ativo
P00153,Joinville,RH,Ativo
P00154,Guarulhos,Engenharia,Ativo
P00155,Guarulhos,Engenharia,Ativo
P00156,Joinville,Engenharia,Ativo
P00157,Jaboticabal,RH,Ativo
P00158,Joinville,Engenharia,Ativo
P00159,Camaçari,TI,Ativo
P00160,Camaçari,Compras,Ativo
P00161,Joinville,RH,Ativo
P00162,Joinville,Qualidade,Ativo
P00163,Joinville,Engenharia,Ativo
P00164,Jaboticabal,RH,Ativo
P00165,Guarulhos,RH,Inativo
P00166,Guarulhos,Engenharia,Ativo
P00167,Camaçari,Engenharia,Ativo
P00168,Camaçari,RH,Ativo
P00169,Jaboticabal,TI,Ativo
P00170,Jaboticabal,Produção,Ativo
P00171,Guarulhos,Logística,Ativo
P00172,Guarulhos,RH,Ativo
P00173,Camaçari,Compras,Inativo
P00174,Guarulhos,Engenharia,Ativo
P00175,Jaboticabal,Compras,Ativo
P00176,Jaboticabal,Produção,Ativo
P00177,Guarulhos,RH,Ativo
P00178,Guarulhos,Engenharia,Ativo
P00179,Guarulhos,TI,Ativo
P00180,Guarulhos,Compras,Ativo
P00181,Jaboticabal,Qualidade,Ativo
P00182,Camaçari,Compras,Ativo
P00183,Jaboticabal,Produção,Ativo
P00184,Camaçari,Compras,Ativo
P00185,Camaçari,Produção,Ativo
P00186,Camaçari,Engenharia,Ativo
P00187,Jaboticabal,Logística,Ativo
P00188,Guarulhos,Logística,Ativo
P00189,Jaboticabal,Qualidade,Inativo
P00190,Joinville,Engenharia,Ativo
P00191,Camaçari,Logística,Ativo
