inspecao_id,pessoa_id,data_inspecao,area,condicao_insegura,criticidade
IS00001,P01130,2024-04-13,Logística,1,Média
IS00002,P01338,2025-02-22,Produção,0,Média
IS00003,P00702,2025-09-23,Logística,0,Baixa
IS00004,P01318,2026-02-13,Laboratório,0,Média
IS00005,P00036,2024-02-12,Produção,0,Alta
IS00006,P01236,2025-12-19,Laboratório,0,Alta
IS00007,P00134,2026-05-29,Laboratório,0,Baixa
IS00008,P00348,2025-05-26,Laboratório,0,Média
IS00009,P00997,2026-07-27,Manutenção,0,Alta
IS00010,P00879,2026-05-18,Produção,0,Média
IS00011,P00107,2024-02-24,Manutenção,0,Média
IS00012,P00961,2024-04-16,Laboratório,0,Média
IS00013,P00564,2024-01-27,Manutenção,1,Alta
IS00014,P00800,2026-05-25,Manutenção,0,Média
IS00015,P00751,2025-07-31,Laboratório,0,Alta
IS00016,P01072,2024-06-25,Laboratório,0,Média
IS00017,P01232,2024-11-01,Logística,1,Alta
IS00018,P00764,2026-06-11,Produção,0,Alta
IS00019,P00759,2024-06-10,Manutenção,0,Média
IS00020,P00677,2024-11-08,Laboratório,0,Baixa
IS00021,P00697,2025-09-24,Laboratório,1,Alta
IS00022,P00945,2026-07-18,Manutenção,0,Baixa
IS00023,P01299,2026-02-23,Produção,0,Média
IS00024,P00833,2024-10-06,Laboratório,0,Alta
IS00025,P01317,2025-12-24,Laboratório,0,Média
IS00026,P00139,2025-10-18,Laboratório,0,Baixa
IS00027,P01244,2025-04-19,Produção,0,Média
IS00028,P01257,2026-02-12,Logística,0,Alta
IS00029,P00804,2026-03-23,Produção,0,Alta
IS00030,P00814,2026-07-08,Logística,1,Alta
IS00031,P01102,2024-05-18,Produção,1,Alta
IS00032,P00633,2024-01-31,Manutenção,0,Baixa
IS00033,P00752,2024-08-30,Manutenção,0,Alta
IS00034,P01458,2024-06-11,Produção,0,Média
IS00035,P00091,2025-01-18,Manutenção,1,Média
IS00036,P01248,2025-10-29,Manutenção,0,Alta
IS00037,P00307,2024-04-30,Laboratório,1,Média
IS00038,P00471,2024-07-22,Laboratório,0,Alta
IS00039,P00430,2024-02-07,Manutenção,0,Baixa
IS00040,P00368,2025-09-25,Manutenção,0,Alta
IS00041,P00268,2025-10-21,Produção,0,Baixa
IS00042,P01178,2024-03-26,Manutenção,0,Média
IS00043,P01431,2024-09-17,Manutenção,1,Média
IS00044,P00303,2026-04-19,Produção,0,Baixa
IS00045,P00792,2026-03-17,Laboratório,0,Alta
