tabela,campo,tipo
pessoas,pessoa_id,object
pessoas,unidade,object
pessoas,area,object
pessoas,status,object
ativos,ativo_id,object
ativos,tipo,object
ativos,unidade,object
ativos,criticidade,object
cadeados,cadeado_id,object
cadeados,pessoa_id,object
cadeados,cor,object
cadeados,status,object
bloqueios_loto,loto_id,object
bloqueios_loto,ativo_id,object
bloqueios_loto,pessoa_id,object
bloqueios_loto,cadeado_id,object
bloqueios_loto,data_inicio,datetime64[ns]
bloqueios_loto,data_fim,datetime64[ns]
bloqueios_loto,motivo,object
bloqueios_loto,status,object
inspecoes_seguranca,inspecao_id,object
inspecoes_seguranca,pessoa_id,object
inspecoes_seguranca,data_inspecao,datetime64[ns]
inspecoes_seguranca,area,object
inspecoes_seguranca,condicao_insegura,int64
inspecoes_seguranca,criticidade,object
acoes,acao_id,object
acoes,inspecao_id,object
acoes,responsavel_id,object
acoes,prazo,datetime64[ns]
acoes,status,object
acoes,custo,float64
